sentences	sensitiveAttr
<gender>Male,<nationality>Switzerland,	Switzerland
<age>182,<gender>Male,	Mississippi
<award>Ekushey_Padak,<award>Independence_Award,<age>94,<gender>Male,<memberOf>Awami_League,<nationality>Pakistan,<nationality>Bangladesh,	Pabna
<alumniOf>École_spéciale_militaire_de_Saint-Cyr,<age>95,<gender>Male,<memberOf>Brunei_People_u0027_s_Party,<nationality>Brunei,	Labuan
<alumniOf>Madras_Christian_College,<age>144,<gender>Male,<nationality>India,	Ballari
<age>55,<gender>Male,<nationality>Sudan,	Khartoum
<alumniOf>University_of_Wisconsin_u2013_Madison,<alumniOf>Chicago_State_University,<gender>Male,<memberOf>Peace_Corps,	Chicago
<alumniOf>University_of_Tehran,<age>72,<gender>Male,<nationality>Iran,	Shiraz
<age>134,<gender>Female,	Grand_Palace
<gender>Male,	Taif
<age>45,<gender>Male,	Mardin
<gender>Male,	Mecca
<age>1414,<gender>Male,	Mecca
<age>1574,<gender>Male,	Mecca
<age>177,<gender>Male,<nationality>Iraq,	Najaf
<age>324,<gender>Male,	Khanate_of_Bukhara
<age>1275,<gender>Male,<knowsLanguage>Arabic,	Egypt
<age>109,<gender>Male,<knowsLanguage>Arabic,<nationality>Algeria,	El_Kseur
<age>79,<gender>Male,<nationality>United_States,	Arkansas
<age>106,<gender>Male,	Chindawol
<alumniOf>Rajshahi_College,<award>Ekushey_Padak,<award>Independence_Award,<age>97,<gender>Male,<nationality>Pakistan,<nationality>Bangladesh,	Sirajganj_District
<age>83,<gender>Male,	Johannesburg
<age>51,<gender>Male,<nationality>Afghanistan,	Helmand_Province
<age>64,<gender>Male,<nationality>United_States,	Bloomington_u002C__Indiana
<alumniOf>Edwardes_College_Peshawar,<age>87,<gender>Male,<nationality>Pakistan,	Peshawar
<age>62,<gender>Male,<knowsLanguage>Arabic,<knowsLanguage>Pashto,<knowsLanguage>Urdu,<knowsLanguage>Persian_lang,<knowsLanguage>Kurdish_languages,<nationality>Iraq,	Mosul
<age>50,<gender>Male,<nationality>Yemen,	Taiz
<age>50,<gender>Male,	Hawally_u002C__Kuwait
<age>42,<gender>Male,<nationality>Canada,	Ottawa
<alumniOf>Frunze_Military_Academy,<age>87,<gender>Male,	Kismayo
<age>257,<gender>Male,<nationality>Nigeria,	Gobir
<age>98,<gender>Male,<nationality>Pakistan,	British_Raj
<age>42,<gender>Male,<worksFor>Central_Intelligence_Agency,	Manama
<age>164,<gender>Male,	Edo
<age>356,<gender>Female,	Nantucket__u0028_CDP_u0029__u002C__Massachusetts
<age>121,<gender>Female,<nationality>United_States,	Honolulu
<age>78,<gender>Male,<nationality>United_States,	New_York_City
<age>1443,<gender>Male,	Mecca
<age>52,<gender>Male,<knowsLanguage>Arabic,<nationality>Kuwait,	Kuwait
<gender>Male,<nationality>Somalia,	Sudan
<age>61,<gender>Male,<nationality>Libya,	Libya
<age>166,<gender>Female,<knowsLanguage>English_lang,	Islington
<gender>Female,<age>169,	Bexley
<age>118,<gender>Male,	Pełkinie
<age>95,<gender>Male,	Detroit
<age>66,<gender>Male,	Sudan
<age>44,<gender>Male,<nationality>China,	Xinjiang
<award>Order_of_Saint_Isabel,<age>231,<gender>Female,<knowsLanguage>English_lang,<knowsLanguage>German_lang,	Meiningen
<age>1214,<gender>Female,	Tours
