snapshot_id,snapshot_year,k,l,AAIL,AIL,final_SE_similarity,final_SA_similarity,fake_nodes,discarded_entries,original_num_of_individuals,num_of_individuals_post_anonymization
0,0508_1815,2,1,0.00035946799481391254,0.560423536334376,0.9558,0.5057,0,1049,2922,1873
0,0508_1815,4,1,0.0007111622922338772,0.24146351338941255,0.9110,0.5034,518,250,2922,3190
0,0508_1815,6,1,0.001060913713046556,0.24078260884271133,0.8748,0.5039,499,259,2922,3162
0,0508_1815,8,1,0.001781892389985925,0.2600856653664451,0.8533,0.5021,490,311,2922,3101
0,0508_1815,10,1,0.0019440889800607325,0.2677752235447045,0.8390,0.5056,458,348,2922,3032
0,0508_1815,2,2,0.00035627926192558705,0.5602714436309606,0.9560,0.5029,10,1046,2922,1886
0,0508_1815,4,2,0.0006441704997942931,0.23619693431888975,0.9109,0.5036,506,244,2922,3184
0,0508_1815,6,2,0.0011926699254559343,0.24679568500083282,0.8741,0.5041,522,260,2922,3184
0,0508_1815,8,2,0.001903923866629407,0.25888178719675453,0.8550,0.5007,498,303,2922,3117
0,0508_1815,10,2,0.0022329947535681778,0.2676188625490745,0.8425,0.5037,482,333,2922,3071
0,0508_1815,2,3,1,1,0,1,MAX,MAX,NA,NA
0,0508_1815,4,3,0.0005839629513479587,0.2412426076631909,0.9114,0.5029,498,262,2922,3158
0,0508_1815,6,3,0.0010436311426644785,0.2512031716659574,0.8758,0.5028,498,286,2922,3134
0,0508_1815,8,3,0.001908465353381258,0.25547526172173407,0.8547,0.5046,472,310,2922,3084
0,0508_1815,10,3,0.0023362195069664693,0.26263706973587425,0.8368,0.5032,466,330,2922,3058
0,0508_1815,2,4,1,1,0,1,MAX,MAX,NA,NA
0,0508_1815,4,4,0.0005711352179933508,0.25591003958196734,0.9135,0.5001,567,258,2922,3231
0,0508_1815,6,4,0.0011305635910655901,0.24887249907493655,0.8761,0.5027,473,295,2922,3100
0,0508_1815,8,4,0.0015686897749909916,0.25469163520562876,0.8533,0.5041,445,325,2922,3042
0,0508_1815,10,4,0.002044902097161281,0.2574417802107448,0.8396,0.5027,429,340,2922,3011
1,1821_1871,2,1,0.00036922032706147645,0.5748601099304913,0.9566,0.5083,0,1072,2938,1866
1,1821_1871,4,1,0.0005898818437759619,0.24026447508532792,0.9113,0.5007,512,254,2938,3196
1,1821_1871,6,1,0.0010881662912770856,0.2458962216720197,0.8756,0.5044,509,269,2938,3178
1,1821_1871,8,1,0.0017365064858328818,0.2559737946214261,0.8518,0.5038,455,325,2938,3068
1,1821_1871,10,1,0.0022005279910704664,0.2628301936840273,0.8391,0.5021,473,330,2938,3081
1,1821_1871,2,2,0.00036806381414660464,0.5758347304808132,0.9573,0.4986,8,1071,2938,1875
1,1821_1871,4,2,0.0005727857974109767,0.24484998868232788,0.9125,0.5034,515,264,2938,3189
1,1821_1871,6,2,0.0011309385709814739,0.25222128125010923,0.8773,0.5013,539,267,2938,3210
1,1821_1871,8,2,0.0016302095259584416,0.2535037839801781,0.8550,0.5029,452,321,2938,3069
1,1821_1871,10,2,0.002275824682686744,0.2564033740514145,0.8405,0.5056,468,317,2938,3089
1,1821_1871,2,3,1,1,0,1,MAX,MAX,NA,NA
1,1821_1871,4,3,0.0006209713551258941,0.24342447573560147,0.9120,0.5066,517,259,2938,3196
1,1821_1871,6,3,0.0012091860781787524,0.2494675774651325,0.8768,0.5032,502,282,2938,3158
1,1821_1871,8,3,0.0019609400286594763,0.2623080695346675,0.8541,0.5052,419,361,2938,2996
1,1821_1871,10,3,0.0021730551791238565,0.2619947785201605,0.8383,0.5025,439,348,2938,3029
1,1821_1871,2,4,1,1,0,1,MAX,MAX,NA,NA
1,1821_1871,4,4,0.0006566552001692122,0.2530567790775306,0.9127,0.4990,553,262,2938,3229
1,1821_1871,6,4,0.0012084588682722396,0.25403154544292716,0.8767,0.5037,528,278,2938,3188
1,1821_1871,8,4,0.0015476036534493131,0.25342117810766895,0.8510,0.5073,452,321,2938,3069
1,1821_1871,10,4,0.0021669874963542485,0.2554916712459488,0.8392,0.5029,463,318,2938,3083
2,1873_1906,2,1,0.00036636624768386503,0.5572557190660555,0.9572,0.5090,0,1067,2983,1916
2,1873_1906,4,1,0.000592259451176917,0.24191815784027232,0.9136,0.5026,512,267,2983,3228
2,1873_1906,6,1,0.0012081541479147312,0.251607387619649,0.8770,0.5033,466,318,2983,3131
2,1873_1906,8,1,0.001674953228045247,0.2571843751379782,0.8586,0.5049,474,326,2983,3131
2,1873_1906,10,1,0.0021634950817215476,0.2619931150030846,0.8441,0.5033,431,362,2983,3052
2,1873_1906,2,2,0.00038155878310519494,0.5784162408640301,0.9575,0.5015,10,1090,2983,1903
2,1873_1906,4,2,0.0006247997175631896,0.24280504127841793,0.9128,0.5028,514,268,2983,3229
2,1873_1906,6,2,0.0012308728881996666,0.24890601237983018,0.8776,0.5038,521,278,2983,3226
2,1873_1906,8,2,0.0015266706776915788,0.2574244426305094,0.8557,0.5013,425,356,2983,3052
2,1873_1906,10,2,0.0021609155932733578,0.26785062569203094,0.8426,0.5015,495,339,2983,3139
2,1873_1906,2,3,1,1,0,1,MAX,MAX,NA,NA
2,1873_1906,4,3,0.0006332865952320831,0.24578265524321483,0.9148,0.5025,530,266,2983,3247
2,1873_1906,6,3,0.0009582212107160865,0.25049554385106154,0.8786,0.5031,534,275,2983,3242
2,1873_1906,8,3,0.001551229477907072,0.2536121045571715,0.8557,0.5037,483,312,2983,3154
2,1873_1906,10,3,0.002196642630174288,0.2554307952821795,0.8416,0.5029,446,337,2983,3092
2,1873_1906,2,4,1,1,0,1,MAX,MAX,NA,NA
2,1873_1906,4,4,0.0005363580657476262,0.2589327272034178,0.9145,0.5015,588,266,2983,3305
2,1873_1906,6,4,0.001114943377219648,0.25245690738100873,0.8776,0.5036,490,306,2983,3167
2,1873_1906,8,4,0.0017387187878527954,0.259264896798324,0.8555,0.5024,430,357,2983,3056
2,1873_1906,10,4,0.0022016499880213626,0.2597234875810333,0.8417,0.5033,452,344,2983,3091
3,1907_1924,2,1,0.00032826232473627315,0.5547215677640669,0.9562,0.5042,0,1060,2972,1912
3,1907_1924,4,1,0.0005950582532090978,0.2427392357023773,0.9123,0.5027,530,256,2972,3246
3,1907_1924,6,1,0.0010972859440502858,0.24802254611434355,0.8742,0.5048,491,292,2972,3171
3,1907_1924,8,1,0.0015199117273574751,0.25294486422894075,0.8535,0.5028,490,304,2972,3158
3,1907_1924,10,1,0.002302586048437376,0.2518127101503315,0.8362,0.5029,427,337,2972,3062
3,1907_1924,2,2,0.0003504872385200908,0.5737257492930274,0.9565,0.5018,15,1079,2972,1908
3,1907_1924,4,2,0.0006069241196568842,0.2370829673963184,0.9116,0.4997,514,251,2972,3235
3,1907_1924,6,2,0.0012208044549315484,0.24576367063651966,0.8764,0.5024,481,292,2972,3161
3,1907_1924,8,2,0.0017375287983047646,0.24600987471634286,0.8518,0.5044,442,315,2972,3099
3,1907_1924,10,2,0.0021207867798585063,0.2593886829974265,0.8390,0.5022,525,298,2972,3199
3,1907_1924,2,3,1,1,0,1,MAX,MAX,NA,NA
3,1907_1924,4,3,0.0006741517869181317,0.23873967440782298,0.9111,0.5065,498,265,2972,3205
3,1907_1924,6,3,0.0011379801839895719,0.24909266866731242,0.8767,0.5046,497,291,2972,3178
3,1907_1924,8,3,0.0016293781811387484,0.24934159023541455,0.8533,0.5021,491,294,2972,3169
3,1907_1924,10,3,0.0021901389983376685,0.2633407530901282,0.8389,0.5052,465,343,2972,3094
3,1907_1924,2,4,1,1,0,1,MAX,MAX,NA,NA
3,1907_1924,4,4,0.0006372597541932722,0.2531563437236589,0.9127,0.5031,565,262,2972,3275
3,1907_1924,6,4,0.0010425302986386592,0.247510348195028,0.8753,0.5029,499,286,2972,3185
3,1907_1924,8,4,0.0016964541219412672,0.25500397267631364,0.8556,0.5048,456,329,2972,3099
3,1907_1924,10,4,0.002090877616461853,0.2613501368757211,0.8381,0.5041,435,356,2972,3051
4,1925_1941,2,1,0.00030006669245693184,0.5589243501734367,0.9561,0.5032,0,1072,2991,1919
4,1925_1941,4,1,0.0005852588027116997,0.24046161119838402,0.9110,0.5021,510,266,2991,3235
4,1925_1941,6,1,0.001303169108908565,0.24129065346435288,0.8731,0.5019,486,281,2991,3196
4,1925_1941,8,1,0.0016327735452662008,0.24849873304381973,0.8518,0.5047,444,324,2991,3111
4,1925_1941,10,1,0.0021280216549959697,0.2562290187601745,0.8388,0.5017,454,336,2991,3109
4,1925_1941,2,2,0.00032687748017647594,0.565160902376442,0.9568,0.4985,13,1076,2991,1928
4,1925_1941,4,2,0.0005832104708750948,0.24150217973507876,0.9113,0.5044,503,273,2991,3221
4,1925_1941,6,2,0.0010431922935888963,0.2477843468559725,0.8756,0.5039,513,282,2991,3222
4,1925_1941,8,2,0.0015929114345165935,0.25325693679109346,0.8503,0.5023,479,315,2991,3155
4,1925_1941,10,2,0.001831593763634783,0.2696944582301519,0.8373,0.5030,483,353,2991,3121
4,1925_1941,2,3,1,1,0,1,MAX,MAX,NA,NA
4,1925_1941,4,3,0.000569514156354012,0.24418686266450534,0.9101,0.5035,526,266,2991,3251
4,1925_1941,6,3,0.001184565946631746,0.24775563826583374,0.8753,0.5043,504,287,2991,3208
4,1925_1941,8,3,0.001553594709362726,0.25187085359261147,0.8535,0.5023,475,314,2991,3152
4,1925_1941,10,3,0.002039032976146357,0.2661481008264951,0.8379,0.5012,498,335,2991,3154
4,1925_1941,2,4,1,1,0,1,MAX,MAX,NA,NA
4,1925_1941,4,4,0.0005728436383267492,0.25463177328354625,0.9123,0.4971,590,255,2991,3326
4,1925_1941,6,4,0.0010042800193734087,0.24673806841527784,0.8741,0.5010,512,280,2991,3223
4,1925_1941,8,4,0.0016483105263271705,0.2538083105263272,0.8542,0.5022,461,327,2991,3125
4,1925_1941,10,4,0.001911364212264265,0.261275544256331,0.8351,0.5044,505,319,2991,3177
5,1942_1957,2,1,0.00036875565092698426,0.5741907451797228,0.9560,0.5035,0,1096,3006,1910
5,1942_1957,4,1,0.0006633136947057391,0.24227202249422192,0.9122,0.4992,550,249,3006,3307
5,1942_1957,6,1,0.0010554681520816111,0.24658698273345506,0.8731,0.5006,483,300,3006,3189
5,1942_1957,8,1,0.0017404689302704002,0.2528390251135723,0.8526,0.5026,490,310,3006,3186
5,1942_1957,10,1,0.0021629113535754745,0.2567023633179201,0.8351,0.5040,397,374,3006,3029
5,1942_1957,2,2,0.00034117506703698885,0.5763828417337037,0.9559,0.4984,10,1096,3006,1920
5,1942_1957,4,2,0.0006153174394961195,0.2372238267752782,0.9095,0.5062,517,256,3006,3267
5,1942_1957,6,2,0.0012419535484687637,0.24494472432932518,0.8726,0.5030,472,302,3006,3176
5,1942_1957,8,2,0.001740446466621206,0.2566173252641908,0.8532,0.5050,459,338,3006,3127
5,1942_1957,10,2,0.002036931699047523,0.2593617724633787,0.8355,0.5045,471,337,3006,3140
5,1942_1957,2,3,1,1,0,1,MAX,MAX,NA,NA
5,1942_1957,4,3,0.0005716970837637859,0.24374938052827563,0.9111,0.5016,547,255,3006,3298
5,1942_1957,6,3,0.0012279830438861922,0.24965960161352233,0.8744,0.5027,487,305,3006,3188
