data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,snapshot_id,algo,galgo,AIL,dm,am,AAIL,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges
freebase,-1,P17,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.00,gs,gs,0,6,tanga,ad2,0.559042750315917,0.558679729952894,0.55940577067894,0.00564295449912549,7,1444,3491,16575,3265,1451,6291,20066,1,6,1,1821,2800
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.00,gs,gs,0,7,tanga,ad2,0.687446885004088,0.686549728976437,0.688344041031736,0.00471920535531341,2,1072,2818,24535,3418,1074,6794,27353,1,10,1,2346,3976
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.00,gs,gs,0,9,tanga,ad2,0.0129008742625724,0.0116440962448656,0.0141576522802794,0.00334389921536539,9,4329,11405,96953,4371,4338,11645,108358,1,10,1,42,240
freebase,-1,P17,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.00,gs,gs,0,7,tanga,ad2,0.541100906393855,0.540706178275489,0.541495634512221,0.00654001813056451,9,1574,3908,18541,3418,1583,6794,22449,1,6,1,1844,2886
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,5,-1,km,gs#0.00,gs,gs,0,7,tanga,ad2,0.667243282687302,0.666374311754044,0.66811225362056,0.00435010709870117,2,1141,2880,24635,3418,1143,6794,27515,1,10,1,2277,3914
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.00,gs,gs,0,4,tanga,ad2,0.736100760343893,0.735569171235085,0.736632349452699,0.00322589260220482,1,820,2221,19284,3100,821,5775,21505,1,10,1,2280,3554
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.00,gs,gs,0,3,tanga,ad2,0.735227881695167,0.734754098360656,0.735701665029677,0.0030185668768621,1,809,2183,18938,3049,810,5648,21121,1,10,1,2240,3465
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,5,-1,km,gs#0.00,gs,gs,0,1,tanga,ad2,0.780596090130259,0.780413419179939,0.78077876108058,0.000831885762956865,0,648,1767,15150,2951,648,5271,16917,1,10,2,2303,3504
freebase,-1,P17,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.00,gs,gs,0,4,tanga,ad2,0.670997096058527,0.670531400966184,0.67146279115087,0.00627041173319648,5,1023,2651,17844,3100,1028,5775,20495,1,8,1,2077,3124
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,1,tanga,ad2,0.796533463300201,0.796340223652999,0.796726702947405,0.000948835605484502,0,601,1692,14553,2951,601,5271,16245,1,10,1,2350,3579
freebase,-1,P17,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.00,gs,gs,0,7,tanga,ad2,0.590450954361259,0.58983350074068,0.591068407981839,0.00504873596615838,5,1404,3526,23408,3418,1409,6794,26934,1,8,1,2014,3268
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,5,1,km,gs#0.00,gs,gs,0,8,tanga,ad2,0.115376389240523,0.115245811883634,0.115506966597412,0.00421951935222555,14,3424,6752,56050,3856,3438,8403,62802,1,10,1,432,1651
freebase,-1,P17,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.00,gs,gs,0,1,tanga,ad2,0.667191261779287,0.667117726657645,0.667264796900931,0.00527539921089352,5,984,2394,11507,2951,989,5271,13901,1,6,1,1967,2877
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,5,1,km,gs#0.00,gs,gs,0,1,tanga,ad2,0.119602478979367,0.119499500121245,0.119705457837485,0.00126951815716777,3,2601,4118,35386,2951,2604,5271,39504,1,10,1,350,1153
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.00,gs,gs,0,6,tanga,ad2,0.743338689328521,0.742577311454791,0.744100067202247,0.00532337847547353,2,841,2257,19625,3265,843,6291,21882,1,10,1,2424,4034
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.00,gs,gs,0,5,tanga,ad2,0.728577610859087,0.727906240101362,0.729248981616809,0.00478457314997911,2,859,2257,19552,3155,861,5927,21809,1,10,1,2296,3670
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.00,gs,gs,0,5,tanga,ad2,0.767529985606403,0.766867279062401,0.768192692150405,0.00554493842739006,2,736,2005,17807,3155,738,5927,19812,1,10,1,2419,3922
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,3,tanga,ad2,0.780160187328431,0.779599868809446,0.780720505847417,0.00254227851843516,0,672,1813,15991,3049,672,5648,17804,1,10,1,2377,3835
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,5,-1,km,gs#0.00,gs,gs,0,8,tanga,ad2,0.540961069871062,0.540036329191725,0.541885810550397,0.00369453451525656,3,1775,4686,39643,3856,1778,8403,44329,1,10,1,2081,3717
freebase,-1,P17,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.00,gs,gs,0,9,tanga,ad2,0.0135078301535008,0.0129694385879082,0.0140462217190935,0.00604468503133021,24,4338,11587,53301,4371,4362,11645,64888,1,6,1,33,58
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,5,1,km,gs#0.00,gs,gs,0,0,tanga,ad2,0.111107104723217,0.110959151706595,0.111255057739838,0.0024722482594222,9,3894,8731,70720,4371,3903,11646,79451,1,10,1,477,2915
freebase,-1,P17,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.00,gs,gs,0,0,tanga,ad2,0.173633828258415,0.173576465460432,0.173691191056397,0.00527901718282187,19,3628,7621,33879,4371,3647,11646,41500,1,6,1,743,4025
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.00,gs,gs,0,4,tanga,ad2,0.741617934997322,0.740967741935484,0.74226812805916,0.00251008529476754,0,803,2144,18807,3100,803,5775,20951,1,10,1,2297,3631
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,5,-1,km,gs#0.00,gs,gs,0,0,tanga,ad2,0.110422384715449,0.110274233231167,0.110570536199728,0.00247058738309497,9,3897,8725,71013,4371,3906,11646,79738,1,10,1,474,2921
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.00,gs,gs,0,9,tanga,ad2,0.0123390097247987,0.0111925861292842,0.0134854333203135,0.00277218406513647,7,4329,11401,96036,4371,4336,11645,107437,1,10,1,42,244
freebase,-1,P17,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.00,gs,gs,0,9,tanga,ad2,0.0169876729004893,0.0169297905262639,0.0170455552747148,5.89060351443462E-05,0,4297,11501,9814,4371,4297,11645,21315,1,2,1,74,144
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,5,1,km,gs#0.00,gs,gs,0,6,tanga,ad2,0.117634675873161,0.1175217635268,0.117747588219521,0.00391842927539358,11,2891,5026,42682,3265,2902,6291,47708,1,10,1,374,1265
freebase,-1,P17,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.00,gs,gs,0,5,tanga,ad2,0.658718151485742,0.658227848101266,0.659208454870217,0.0060362752948789,5,1080,2767,18489,3155,1085,5927,21256,1,8,1,2075,3160
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,5,-1,km,gs#0.00,gs,gs,0,3,tanga,ad2,0.754917909667909,0.754345714002656,0.755490105333162,0.002329549358599,0,749,1949,17062,3049,749,5648,19011,1,10,1,2300,3699
freebase,-1,P17,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.00,gs,gs,0,4,tanga,ad2,0.537815850593097,0.537644813525605,0.537986887660596,0.00590429752923967,8,1437,3228,9189,3100,1445,5775,12417,1,4,1,1663,2547
freebase,-1,P17,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.00,gs,gs,0,3,tanga,ad2,0.609854942716794,0.609620418848168,0.610089466585423,0.0064305874521037,7,1193,2886,13929,3049,1200,5648,16815,1,6,1,1856,2762
freebase,-1,P17,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.00,gs,gs,0,8,tanga,ad2,0.301023710433615,0.300775327337433,0.301272093529798,0.00550068699529923,14,2706,6369,17573,3856,2720,8403,23942,1,4,1,1150,2034
freebase,-1,P17,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.00,gs,gs,0,4,tanga,ad2,0.254214767931485,0.254193548387097,0.254235987475875,2.84518112471019E-05,0,2312,4720,4230,3100,2312,5775,8950,1,2,1,788,1055
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.00,gs,gs,0,2,tanga,ad2,0.741781319345427,0.741281966124211,0.742280672566643,0.00193010596801012,0,779,2031,17732,3011,779,5497,19763,1,10,1,2232,3466
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.00,gs,gs,0,7,tanga,ad2,0.660245645137753,0.659356767894395,0.66113452238111,0.00431897814584889,2,1165,3016,25802,3418,1167,6794,28818,1,10,1,2253,3778
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,5,1,km,gs#0.00,gs,gs,0,9,tanga,ad2,0.109837784797783,0.109689474999081,0.109986094596481,0.00144840190679892,5,3896,8700,70979,4371,3901,11645,79679,1,10,1,475,2945
freebase,-1,P17,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.00,gs,gs,0,8,tanga,ad2,0.390255072975834,0.389821784852904,0.390688361098761,0.00701616663072821,15,2362,5860,27580,3856,2377,8403,33440,1,6,1,1494,2543
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.00,gs,gs,0,0,tanga,ad2,0.110754086345065,0.110603551781531,0.110904620908598,0.00145238698155792,5,3892,8697,71998,4371,3897,11646,80695,1,10,1,479,2949
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.00,gs,gs,0,1,tanga,ad2,0.759603709142486,0.759403592002711,0.759803826282263,0.000831754478137533,0,710,1898,16329,2951,710,5271,18227,1,10,1,2241,3373
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.00,gs,gs,0,1,tanga,ad2,0.767474217799388,0.767276422764228,0.767672012834549,0.0023021670694681,1,687,1889,16388,2951,688,5271,18277,1,10,1,2264,3382
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.00,gs,gs,0,7,tanga,ad2,0.672528957016014,0.671733432644855,0.673324481387172,0.00508138226038248,3,1123,3022,25771,3418,1126,6794,28793,1,10,1,2295,3772
