snapshot_id,snapshot_year,k,l,AAIL,AIL,final_SE_similarity,final_SA_similarity,fake_nodes,discarded_entries,original_num_of_individuals,num_of_individuals_post_anonymization
0,01_02,2,1,0.00398059793676756,0.42210925290752777,0.7433,0.3381,0,143,485,342
0,01_02,4,1,0.006617991132701177,0.1729765863267862,0.6910,0.3319,73,17,485,541
0,01_02,6,1,0.01311955695428332,0.1378758922369344,0.6298,0.3262,46,18,485,513
0,01_02,8,1,0.018554700436383027,0.14153857140412496,0.5940,0.3230,36,25,485,496
0,01_02,10,1,0.019543736354200113,0.1429082223355085,0.5821,0.3257,58,8,485,535
0,01_02,10,2,0.021511446193930802,0.14722573190821653,0.5898,0.3263,53,13,485,525
0,01_02,10,3,0.021708248008730217,0.15636171335526486,0.5801,0.3305,44,24,485,505
0,01_02,10,4,0.019582629182078103,0.1716294128078091,0.5823,0.3245,53,25,485,513
1,10_10,2,1,0.00545583490552882,0.4410113904610844,0.7323,0.3083,0,98,323,225
1,10_10,4,1,0.010308169529129349,0.17881645682194705,0.6796,0.3170,50,11,323,362
1,10_10,6,1,0.016976781232973755,0.17322678123297375,0.6075,0.3231,42,13,323,352
1,10_10,8,1,0.027682737388639963,0.19585090555680815,0.5792,0.3182,33,23,323,333
1,10_10,10,1,0.03168874534906018,0.16690001295469398,0.5775,0.3216,40,8,323,355
1,10_10,10,2,0.03262295661091256,0.16632769198695713,0.5671,0.3237,42,6,323,359
1,10_10,10,3,0.03486951814017707,0.16621280172226663,0.5587,0.3276,28,16,323,335
1,10_10,10,4,0.025824343786349846,0.18971323267523874,0.5773,0.3297,48,11,323,360
2,11_11,2,1,0.0055826214785936745,0.4123622824955428,0.7223,0.3377,0,96,332,236
2,11_11,4,1,0.008913733073981541,0.16764389180414027,0.6788,0.3392,53,7,332,378
2,11_11,6,1,0.0159459864363395,0.18565878017002097,0.6386,0.3252,58,7,332,383
2,11_11,8,1,0.023114796609231703,0.1972720999800182,0.5943,0.3237,43,19,332,356
2,11_11,10,1,0.029708029719880673,0.22970802971988066,0.5615,0.3240,41,28,332,345
2,11_11,10,2,0.03548259994621618,0.1791607608657564,0.5570,0.3299,33,17,332,348
2,11_11,10,3,0.02888636866351214,0.2210869257665762,0.5742,0.3237,48,21,332,359
2,11_11,10,4,0.027701641199891724,0.21055878405703457,0.5679,0.3203,41,23,332,350
3,12_12,2,1,0.006477959976620943,0.3622471907458517,0.6948,0.3340,0,74,282,208
3,12_12,4,1,0.011416648364246001,0.18898674182218994,0.6535,0.3329,48,9,282,321
3,12_12,6,1,0.018686233194890704,0.1651830484815149,0.5832,0.3262,39,7,282,314
3,12_12,8,1,0.02818861765629991,0.17104576051344278,0.5527,0.3261,35,9,282,308
3,12_12,10,1,0.03397806450381191,0.15547339160661566,0.5350,0.3250,39,0,282,321
3,12_12,10,2,0.03260774080047965,0.17730227456253753,0.5322,0.3284,37,8,282,311
3,12_12,10,3,0.037182886120684745,0.16876183348910578,0.5286,0.3207,31,9,282,304
3,12_12,10,4,0.03453122509896039,0.19643598700372228,0.5443,0.3274,42,9,282,315
4,03_04,2,1,0.003771817813864488,0.42216944392662414,0.7311,0.3274,0,141,478,337
4,03_04,4,1,0.00672024292841384,0.17028901616261458,0.6898,0.3294,74,14,478,538
4,03_04,6,1,0.011288303280336368,0.17159364679178676,0.6337,0.3289,65,19,478,524
4,03_04,8,1,0.016524043405829827,0.15315770677216647,0.5908,0.3268,48,21,478,505
4,03_04,10,1,0.02108093786228809,0.1443686090951648,0.5817,0.3260,48,15,478,511
4,03_04,10,2,0.020912217087781373,0.16646987304241273,0.5890,0.3238,64,13,478,529
4,03_04,10,3,0.02284694415950192,0.14715121132091194,0.5797,0.3215,64,3,478,539
4,03_04,10,4,0.022675120974606715,0.1644226937901407,0.5755,0.3243,55,18,478,515
5,05_05,2,1,0.0057537640266822985,0.3873327113951034,0.6972,0.3211,0,87,315,228
5,05_05,4,1,0.010197585499815148,0.173990688948091,0.6627,0.3235,45,12,315,348
5,05_05,6,1,0.020023294725035144,0.19111474015276375,0.6047,0.3206,41,17,315,339
5,05_05,8,1,0.02249003364886487,0.15898854996933964,0.5662,0.3156,34,12,315,337
5,05_05,10,1,0.03156878580605576,0.1911129453502153,0.5742,0.3167,46,10,315,351
5,05_05,10,2,0.029485282790761225,0.19565738961568702,0.5570,0.3232,39,17,315,337
5,05_05,10,3,0.033861627849774124,0.17199976598791225,0.5513,0.3275,32,14,315,333
5,05_05,10,4,0.030424627298683726,0.19103068790474434,0.5499,0.3227,34,19,315,330
6,06_06,2,1,0.005663523545399808,0.4154196211063754,0.7033,0.3365,0,84,289,205
6,06_06,4,1,0.012164431640570645,0.18251143479514478,0.6684,0.3237,41,13,289,317
6,06_06,6,1,0.020846201939196448,0.1660074922617771,0.6043,0.3279,33,12,289,310
6,06_06,8,1,0.03098000647433721,0.17051489019526744,0.5802,0.3255,27,15,289,301
6,06_06,10,1,0.03688684209269096,0.1575217627276116,0.5495,0.3266,32,6,289,315
6,06_06,10,2,0.03206984943399328,0.14492251401079578,0.5644,0.3269,33,3,289,319
6,06_06,10,3,0.033219608769443625,0.16571172233411238,0.5609,0.3220,35,7,289,317
6,06_06,10,4,0.03833987016308238,0.12774384367301614,0.5463,0.3236,20,7,289,302
7,07_07,2,1,0.007150933552245841,0.43428661194420565,0.7170,0.3358,0,85,284,199
7,07_07,4,1,0.010514318871835007,0.19015503743470924,0.6891,0.3236,55,5,284,334
7,07_07,6,1,0.016922005509303343,0.17549805728923862,0.6059,0.3217,37,12,284,309
7,07_07,8,1,0.024282973434773095,0.16264775330898693,0.5782,0.3216,39,5,284,318
7,07_07,10,1,0.035088604637912336,0.16295745709692872,0.5560,0.3231,30,9,284,305
7,07_07,10,2,0.039950622888658055,0.17893367373611568,0.5520,0.3276,26,15,284,295
7,07_07,10,3,0.04297877641444142,0.2023008103127465,0.5598,0.3217,29,18,284,295
7,07_07,10,4,0.03598669148186222,0.18852906436321815,0.5602,0.3228,28,17,284,295
8,08_08,2,1,0.005566180990344273,0.4026953675932151,0.7001,0.3256,0,83,292,209
8,08_08,4,1,0.012057741162953634,0.16929044556546935,0.6531,0.3260,38,12,292,318
8,08_08,6,1,0.018787956524586747,0.15358419476910085,0.5870,0.3264,35,8,292,319
8,08_08,8,1,0.02800764148081714,0.1420141561387976,0.5533,0.3215,25,10,292,307
8,08_08,10,1,0.033583250740568754,0.1677295922039834,0.5382,0.3260,40,4,292,328
8,08_08,10,2,0.031244029157550948,0.17238517029869208,0.5404,0.3225,44,3,292,333
8,08_08,10,3,0.03449707731019119,0.15501824994862767,0.5265,0.3222,26,11,292,307
8,08_08,10,4,0.03657947170329659,0.17395966339658733,0.5358,0.3227,32,11,292,313
9,09_09,2,1,0.006229470987730847,0.4265193260601946,0.7045,0.3389,0,87,294,207
9,09_09,4,1,0.010335971231057846,0.17649911322501555,0.6556,0.3274,46,9,294,331
9,09_09,6,1,0.023174740609967277,0.19694523241324596,0.5997,0.3294,32,21,294,305
9,09_09,8,1,0.022468556672469,0.19305679196658665,0.5782,0.3184,52,6,294,340
9,09_09,10,1,0.04058631538334804,0.14949720647245696,0.5279,0.3338,21,12,294,303
9,09_09,10,2,0.035913204339127605,0.17877034719627047,0.5450,0.3209,29,15,294,308
9,09_09,10,3,0.030259508137906583,0.1901341162883768,0.5484,0.3292,38,13,294,319
9,09_09,10,4,0.03911799499527743,0.19734584309654324,0.5570,0.3303,36,14,294,316
