sentences	sensitiveAttr
<Host_a_visit>National_Assembly_of_Kuwait,<Make_a_visit>Sudan,<Express_intent_to_meet_or_negotiate>Ethiopia,<Praise_or_endorse>Barack_Obama,	<Media_(Africa)>
<Appeal_for_change_in_leadership>Macky_Sall,	<Criminal_(Pakistan)>
<Consult>Envoy_(United_States),<Make_an_appeal_or_request>Afghanistan,<Make_an_appeal_or_request>Election_Commission_(Iran),<Engage_in_negotiation>Election_Commission_(Afghanistan),<Make_pessimistic_comment>Afghanistan,	<John_Kerry>
<Praise_or_endorse>Abdel_Fattah_Al-Sisi,<Make_an_appeal_or_request>Company_-_Owner_or_Operator_(Iran),	<Businessperson_(Turkey)>
<Use_conventional_military_force>Philippines,	<Nestor_Kirchner>
<Express_intent_to_meet_or_negotiate>National_Council_for_Peace_and_Order_of_Thailand,	<Al-Shabaab>
<Use_conventional_military_force>Militant_(Taliban),	<Other_Authorities_/_Officials_(Russia)>
<Engage_in_diplomatic_cooperation>Iraq,<Engage_in_diplomatic_cooperation>Hezbollah,<Host_a_visit>Employee_(India),<Reduce_relations>Employee_(Afghanistan),	<Armed_Band_(Afghanistan)>
<Use_conventional_military_force>Foreign_Affairs_(United_States),	<Domestic_Affairs_(Kenya)>
<Use_conventional_military_force>Citizen_(Kenya),<Acknowledge_or_claim_responsibility>Citizen_(Kenya),	<Police_(Dominican_Republic)>
<Make_an_appeal_or_request>Media_(Philippines),	<Barack_Obama>
<Express_intent_to_cooperate>Milos_Zeman,<Praise_or_endorse>Helena_Valkova,	<Treasury/Finance_Ministry_(Czech_Republic)>
<Consult>Milos_Zeman,	<National_Liberal_Party>
<Discuss_by_telephone>François_Hollande,	<Madeleine_Albright>
<Make_a_visit>China,	<Congo>
<Threaten>Media_Personnel_(Argentina),	<Tea_Banh>
<Use_unconventional_violence>City_Mayor_(Philippines),	<RIA_Novosti>
<Use_unconventional_violence>Foreign_Affairs_(India),	<Western_Sahara>
<Carry_out_suicide_bombing>Djibouti,	<Vietnam>
<Use_unconventional_violence>Citizen_(Nigeria),	<AvtoVAZ>
<Use_unconventional_violence>Men_(Mexico),	<The_Standard>
<Carry_out_suicide_bombing>Iran,	<Umar_al_Bashir>
<Sign_formal_agreement>Iran,	<Cobra_Matata>
<Make_an_appeal_or_request>Abdullah_Abdullah,	<Afghanistan>
<Discuss_by_telephone>Business_(Paraguay),	<Armed_Gang_(Egypt)>
<Engage_in_diplomatic_cooperation>China,	<Head_of_Government_(Ukraine)>
<Criticize_or_denounce>Party_Member_(Bangladesh),	<Government_(South_Africa)>
<Engage_in_symbolic_act>Citizen_(Nigeria),	<Media_(Nigeria)>
<Provide_humanitarian_aid>Government_(Poland),	<Fidesz>
<Express_intent_to_de-escalate_military_engagement>Afghanistan,<Discuss_by_telephone>Mexico,<Consult>Head_of_Government_(New_Zealand),<Praise_or_endorse>Poland,<Consult>Xi_Jinping,<Praise_or_endorse>North_Atlantic_Treaty_Organization,<Express_intent_to_meet_or_negotiate>Iran,	<North_Atlantic_Treaty_Organization>
<Make_an_appeal_or_request>Settler_(Israel),<Accuse>Terrorist_(Hamas),<Praise_or_endorse>Reuven_Rivlin,	<John_Kerry>
<Accuse>Citizen_(Sudan),	<Vietnam>
<Use_conventional_military_force>Cameroon,	<Government_(Nigeria)>
<Consult>Lung_Ying-tai,	<International_Monetary_Fund>
<Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)>Japan,	<Thailand>
<Consult>Cho_Tai-young,<Consult>Radoslaw_Sikorski,	<Fumio_Kishida>
<Accuse>Military_(Thailand),<Host_a_visit>Fumio_Kishida,<Host_a_visit>Sheikh_Hasina_Wajed,	<Thailand>
<Make_a_visit>Angola,<Consult>Niger,	<Aam_Aadmi_Party>
<Consult>Labor_Union_(Canada),<Praise_or_endorse>Philippines,<Host_a_visit>Barack_Obama,	<Liberal_Party_(Canada)>
<Impose_administrative_sanctions>Paraguay,	<Member_of_Parliament_(Romania)>
<Consult>Iran,	<Iran>
<Make_optimistic_comment>China,	<Military_Personnel_-_Special_(Nigeria)>
<Make_an_appeal_or_request>Citizen_(Nigeria),	<Military_Personnel_(Mali)>
<Use_unconventional_violence>Guinea,	<UN_Security_Council>
<Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)>Cambodia,<Praise_or_endorse>Middle_East,<Reject>North_Korea,<Engage_in_diplomatic_cooperation>Association_of_Southeast_Asian_Nations,<Accuse>Uighur_(China),<Provide_economic_aid>Iraq,<Engage_in_diplomatic_cooperation>Iran,<Deny_responsibility>Vietnam,<Accuse>Vietnam,<Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)>South_Korea,<Express_intent_to_meet_or_negotiate>Vietnam,<Use_conventional_military_force>Japan,<Make_an_appeal_or_request>Citizen_(United_Kingdom),<Praise_or_endorse>Kuwait,<Make_an_appeal_or_request>Philippines,<Host_a_visit>Sushil_Koirala,<Criticize_or_denounce>Kim_Jong-Un,<Host_a_visit>Hau_Lung-pin,<Veto>UN_Security_Council,	<Afghanistan>
<Express_intent_to_meet_or_negotiate>France,	<Justicialist_Party>
<Consult>Victor_Ponta,<Make_a_visit>Romania,	<Iran>
<Make_pessimistic_comment>Lawyer/Attorney_(Australia),<Accuse>Julia_Gillard,	<Military_(China)>
<Threaten_with_military_force>Airline_(Belarus),	<Boko_Haram>
<Criticize_or_denounce>Gilberto_Kassab,	<Dalbir_Singh>
<Express_intent_to_meet_or_negotiate>Head_of_Government_(Germany),	<Member_of_Legislative_(Govt)_(Kenya)>
<Accuse>Other_Authorities_/_Officials_(Guinea),	<Frank_Bainimarama>
<Make_an_appeal_or_request>Medical_Personnel_(India),<Make_pessimistic_comment>Amit_Shah,<Use_unconventional_violence>Akhilesh_Yadav,<Demand_change_in_leadership>Shivraj_Singh_Chouhan,<Demand>Shiv_Sena,<Make_an_appeal_or_request>Nurse_(India),<Use_unconventional_violence>Labor_Union_(India),<Accuse>Akali_Leader,<Demand>Fessehaye_Yohannes,<Demonstrate_or_rally>Employee_(India),	<Education_(Nigeria)>
<Accuse>Government_(Kenya),<Make_an_appeal_or_request>Lawyer/Attorney_(Kenya),	<Volvo>
<Accuse>Government_(Mauritania),	<Ukrinform>
<Receive_deployment_of_peacekeepers>Government_(United_States),<Reject>Kayode_Fayemi,<Express_intent_to_cooperate>Head_of_Government_(Nigeria),<Engage_in_symbolic_act>Indigenous_People_(Nigeria),<Abduct_hijack_or_take_hostage>Head_of_Government_(Nigeria),<Engage_in_symbolic_act>Head_of_Government_(Nigeria),<Make_optimistic_comment>Head_of_Government_(Nigeria),	<Employee_(Kuwait)>
<Defy_norms_law>North_Korea,	<Cabinet_/_Council_of_Ministers_/_Advisors_(United_States)>
<Make_an_appeal_or_request>Police_(South_Korea),<Decline_comment>Police_(South_Korea),	<Arnaud_Montebourg>
<Demand>Employee_(Tanzania),<Appeal_for_diplomatic_cooperation_(such_as_policy_support)>Ministry_(Tanzania),<Express_intent_to_meet_or_negotiate>Tanzania,	<Other_Authorities_/_Officials_(Egypt)>
<Criticize_or_denounce>Thief_(Thailand),	<Martin_McGuinness>
<Occupy_territory>United_Arab_Emirates,<Make_optimistic_comment>Energy_Department/Ministry_(United_Arab_Emirates),	<Congress_(Philippines)>
<Threaten>Lameck_Mangani,	<Employee_(Philippines)>
<Make_an_appeal_or_request>Nuri_al-Maliki,	<Thief_(Poland)>
<Occupy_territory>Iraq,	<Uhuru_Muigai_Kenyatta>
<Use_unconventional_violence>Citizen_(Kenya),	<Ministry_(Malaysia)>
<Provide_humanitarian_aid>Citizen_(India),<Provide_humanitarian_aid>Employee_(India),	<Mark_Lyall_Grant>
<Arrest_detain_or_charge_with_legal_action>Citizen_(Georgia),	<Chimed_Saikhanbileg>
<Praise_or_endorse>Vietnam,	<Mustafa_Abu_Shagur>
<Consult>Ethiopia,	<Armed_Rebel_(Yemen)>
<Demand>Presidential_Candidate_(Argentina),	<Guy_Scott>
<Express_intent_to_cooperate>Lawyer/Attorney_(Kenya),	<Media_(Saudi_Arabia)>
<Demand>Citizen_(Namibia),	<African_Union>
<Demand>Men_(United_Kingdom),<Reject>Lawyer/Attorney_(United_Kingdom),<Express_intent_to_cooperate>Citizen_(United_Kingdom),	<Government_(Panama)>
<Use_unconventional_violence>Student_(Bangladesh),	<Party_Member_(Iraq)>
<Use_unconventional_violence>Police_(Egypt),	<Ministry_(Nigeria)>
<Use_unconventional_violence>Businessperson_(Germany),	<Government_(Nigeria)>
<Express_intent_to_meet_or_negotiate>Myanmar,<Make_a_visit>Japan,	<Armed_Gang_(United_States)>
<Consult>Head_of_Government_(Ukraine),	<Abdul_Aziz>
<Bring_lawsuit_against>Citizen_(Nigeria),	<Member_of_the_Judiciary_(Nigeria)>
<Provide_economic_aid>Guinea,	<Nurse_(France)>
<Deny_responsibility>Police_(Australia),	<Ministry_(Croatia)>
