data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,t,algo,galgo,adm,dm,am,radm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.25,gs,gs,0.25,5,tanga,ad2,0.404269710410982,0.404085680517402,0.404453740304559,0.000394689830879258,0,854,697,2230,1433,854,3578,2927,1,4,1,579,2881
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.25,gs,gs,0.25,7,tanga,ad2,0.321127181229868,0.321015734947188,0.321238627512543,0.000228693567883617,0,1136,1363,1427,1673,1136,4576,2790,1,2,1,537,3213
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.25,gs,gs,0.25,3,tanga,ad2,0.363070229842349,0.362981460025618,0.363158999659078,0.000201698243501808,0,760,820,867,1193,760,2685,1687,1,2,1,433,1865
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.25,gs,gs,0.25,3,tanga,ad2,0.642298443952681,0.642100925417828,0.642495962487532,0.000669149577786003,0,427,241,2236,1193,427,2685,2477,1,10,1,766,2444
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.25,gs,gs,0.25,2,tanga,ad2,0.38781822587203,0.38767858645794,0.387957865286121,0.000310025907526921,0,654,524,1600,1068,654,2212,2124,1,4,1,414,1688
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.25,gs,gs,0.25,9,tanga,ad2,0.603023830179449,0.602841890027359,0.603205770331538,0.000582229675722622,0,734,420,3807,1848,734,5594,4227,1,4,1,1114,5174
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,1,tanga,ad2,0.538832282752621,0.538666371845291,0.53899819365995,0.0099531888838873,4,418,220,2028,902,422,1702,2248,1,10,1,484,1482
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.25,gs,gs,0.25,7,tanga,ad2,0.609874387507793,0.609715537621714,0.610033237393872,0.000554515526696136,0,653,341,3033,1673,653,4576,3374,1,10,1,1020,4235
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.25,gs,gs,0.25,4,tanga,ad2,0.396258645365201,0.396075277455683,0.396442013274715,0.000382040998517714,0,793,640,2012,1313,793,3146,2652,1,4,1,520,2506
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.25,gs,gs,0.25,5,tanga,ad2,0.601743098289941,0.601571642214788,0.601914554365094,0.000590601653408995,0,571,289,2535,1433,571,3578,2824,1,10,1,862,3289
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.25,gs,gs,0.25,9,tanga,ad2,0.594931883857782,0.594733645007588,0.595130122707969,0.000645987802592389,0,749,435,3931,1848,749,5594,4366,1,10,1,1099,5159
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.25,gs,gs,0.25,4,tanga,ad2,0.604159819047368,0.604001725089024,0.604317913005711,0.000583114430064792,0,520,262,2288,1313,520,3146,2550,1,10,1,793,2884
