data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,snapshot_id,algo,galgo,AIL,dm,am,AAIL,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.25,gs,gs,0.25,0,tanga,ad2,0.037564236536945,0.0372196502057614,0.0379088228681286,0.000551123264368561,0,520,457,2548,540,520,847,3005,1,6,1,20,390
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,1,km,gs#0.25,gs,gs,0.25,3,tanga,ad2,0.0440180843308433,0.042899204566453,0.0451369640952336,0.00132886688527311,0,1142,1511,15415,1193,1142,2685,16926,1,10,1,51,1174
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,1,km,gs#0.25,gs,gs,0.25,2,tanga,ad2,0.0226325718548758,0.0217039094390439,0.0235612342707077,0.00112302883183351,0,1045,1166,11481,1068,1045,2212,12647,1,10,1,23,1046
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,1,km,gs#0.25,gs,gs,0.25,4,tanga,ad2,0.0179914874714045,0.0168934302182929,0.0190895447245162,0.00125822300136227,0,1291,1840,16841,1313,1291,3146,18681,1,10,1,22,1306
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,1,tanga,ad2,0.40471196666721,0.404475748603523,0.404948184730899,0.00605398226527632,3,539,310,2690,902,542,1702,3000,1,10,1,363,1392
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,1,km,gs#0.25,gs,gs,0.25,8,tanga,ad2,0.020488764120431,0.0192328777338261,0.0217446505070357,0.00140493337899834,0,1745,2719,25587,1779,1745,5128,28306,1,10,1,34,2409
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.25,gs,gs,0.25,0,tanga,ad2,0.0580959777268244,0.0576200274348424,0.0585719280188066,0.000737375830819631,0,509,422,3276,540,509,847,3698,1,8,1,31,425
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,1,km,gs#0.25,gs,gs,0.25,1,tanga,ad2,0.0275214265566348,0.0267673216945835,0.0282755314186858,0.000941112255680996,0,878,959,8616,902,878,1702,9575,1,10,1,24,743
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.25,gs,gs,0.25,0,tanga,ad2,0.0304971605480426,0.029812242798354,0.0311820782977312,0.000896893528797143,0,524,426,4499,540,524,847,4925,1,10,1,16,421
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,2,km,gs#0.25,gs,gs,0.25,2,tanga,ad2,0.013266985674387,0.012363846455975,0.0141701248927989,0.00110938501907514,0,1055,1193,11749,1068,1055,2212,12942,1,10,1,13,1019
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,2,km,gs#0.25,gs,gs,0.25,0,tanga,ad2,0.0304483746419502,0.0298242455418382,0.0310725037420623,0.000846806820067947,0,524,498,4213,540,524,847,4711,1,10,1,16,349
