data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,t,algo,galgo,adm,dm,am,radm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.25,gs,gs,0.25,0,tanga,ad2,0.03756423653694497,0.03721965020576142,0.03790882286812865,0.0005511232643685606,0,520,457,2548,540,520,847,3005,1,6,1,20,390
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,1,km,gs#0.25,gs,gs,0.25,3,tanga,ad2,0.04401808433084334,0.042899204566452964,0.04513696409523355,0.0013288668852731124,0,1142,1511,15415,1193,1142,2685,16926,1,10,1,51,1174
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,1,km,gs#0.25,gs,gs,0.25,2,tanga,ad2,0.02263257185487576,0.02170390943904388,0.023561234270707693,0.0011230288318335138,0,1045,1166,11481,1068,1045,2212,12647,1,10,1,23,1046
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,1,km,gs#0.25,gs,gs,0.25,4,tanga,ad2,0.017991487471404496,0.016893430218292895,0.019089544724516155,0.0012582230013622692,0,1291,1840,16841,1313,1291,3146,18681,1,10,1,22,1306
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0.0,1,tanga,ad2,0.4047119666672105,0.40447574860352326,0.4049481847308988,0.0060539822652763186,3,539,310,2690,902,542,1702,3000,1,10,1,363,1392
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,1,km,gs#0.25,gs,gs,0.25,8,tanga,ad2,0.02048876412043095,0.01923287773382611,0.021744650507035678,0.0014049333789983352,0,1745,2719,25587,1779,1745,5128,28306,1,10,1,34,2409
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.25,gs,gs,0.25,0,tanga,ad2,0.05809597772682437,0.05762002743484236,0.05857192801880656,0.0007373758308196313,0,509,422,3276,540,509,847,3698,1,8,1,31,425
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,1,km,gs#0.25,gs,gs,0.25,1,tanga,ad2,0.02752142655663478,0.026767321694583495,0.028275531418685832,0.0009411122556809965,0,878,959,8616,902,878,1702,9575,1,10,1,24,743
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.25,gs,gs,0.25,0,tanga,ad2,0.03049716054804256,0.029812242798354014,0.03118207829773117,0.0008968935287971429,0,524,426,4499,540,524,847,4925,1,10,1,16,421
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,2,km,gs#0.25,gs,gs,0.25,2,tanga,ad2,0.013266985674386975,0.012363846455974964,0.014170124892798881,0.0011093850190751426,0,1055,1193,11749,1068,1055,2212,12942,1,10,1,13,1019
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,2,km,gs#0.25,gs,gs,0.25,0,tanga,ad2,0.030448374641950247,0.02982424554183825,0.03107250374206226,0.0008468068200679471,0,524,498,4213,540,524,847,4711,1,10,1,16,349
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.25,gs,gs,0.25,0,tanga,ad2,0.06569194046781399,0.06501371742112494,0.06637016351450295,0.0009452869138417036,0,505,422,4341,540,505,847,4763,1,10,1,35,425
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.25,gs,gs,0.25,1,tanga,ad2,0.27400740000763046,0.2738906150903879,0.27412418492487345,0.00025034636147610743,0,655,498,1473,902,655,1702,1971,1,4,1,247,1204
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.25,gs,gs,0.25,1,tanga,ad2,0.44820021059111154,0.44794580655945637,0.44845461462276726,0.0005937788706805691,0,498,322,3075,902,498,1702,3397,1,10,1,404,1380
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.25,gs,gs,0.25,1,tanga,ad2,0.4193691329105414,0.4191271183524171,0.4196111474686644,0.0005533433890240744,0,524,327,3003,902,524,1702,3330,1,10,1,378,1375
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,1,km,gs#0.25,gs,gs,0.25,7,tanga,ad2,0.009762898310318143,0.008491372950153371,0.011034423670482728,0.0014069911717572853,0,1659,2691,24719,1673,1659,4576,27410,1,10,1,14,1885
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,1,km,gs#0.25,gs,gs,0.25,9,tanga,ad2,0.019416308018787208,0.01802434127921115,0.020808274758363058,0.0015890612408867913,0,1815,3051,28784,1848,1815,5594,31835,1,10,1,33,2543
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.25,gs,gs,0.25,1,tanga,ad2,0.3971913841789303,0.3969480238543566,0.3974347445035036,0.0005186254983086889,0,544,345,2775,902,544,1702,3120,1,10,1,358,1357
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,2,km,gs#0.25,gs,gs,0.25,1,tanga,ad2,0.418280661087866,0.4180347564662907,0.4185265657094411,0.0005968348148859855,0,525,320,2987,902,525,1702,3307,1,10,1,377,1382
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.25,gs,gs,0.25,1,tanga,ad2,0.42705540209839815,0.42688150500734995,0.4272292991894455,0.0004284650850034968,0,517,304,2134,902,517,1702,2438,1,8,1,385,1398
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0.0,2,tanga,ad2,0.46260711510173974,0.46224851596412153,0.46296571423935995,0.006012400170705722,3,576,455,4243,1068,579,2212,4698,1,10,1,492,1757
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,1,km,gs#0.25,gs,gs,0.25,5,tanga,ad2,0.010430908852332919,0.009213708960700557,0.0116481087439653,0.0013721286844736395,0,1420,2123,19805,1433,1420,3578,21928,1,10,1,13,1455
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,1,km,gs#0.25,gs,gs,0.25,6,tanga,ad2,0.016270569810304957,0.015044020649510484,0.017497118971099596,0.0013664909074671942,0,1518,2298,21616,1541,1518,4068,23914,1,10,1,23,1770
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,1,km,gs#0.25,gs,gs,0.25,0,tanga,ad2,0.02864384084457266,0.027974965706447263,0.029312715982698117,0.0008937051811245412,0,525,467,4415,540,525,847,4882,1,10,1,15,380
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.25,gs,gs,0.25,0,tanga,ad2,0.04719158489142787,0.04650377229080943,0.04787939749204635,0.0009440294891847987,0,515,422,4427,540,515,847,4849,1,10,1,25,425
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0.0,0,tanga,ad2,0.15143396252665858,0.1511544892470379,0.15171343580627875,0.006972385874014365,3,461,279,2642,540,464,847,2921,1,10,1,79,568
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.25,gs,gs,0.25,1,tanga,ad2,0.4071650444398506,0.4069375273474564,0.40739256153224385,0.00052830538669764,0,535,287,2719,902,535,1702,3006,1,10,1,367,1415
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.25,gs,gs,0.25,0,tanga,ad2,0.02863736175109755,0.028043552812071455,0.029231170690123726,0.0008880487812246283,0,525,427,4174,540,525,847,4601,1,10,1,15,420
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.25,gs,gs,0.25,0,tanga,ad2,0.04457817287603575,0.0445010288065844,0.04465531694548704,0.00014132547940795003,0,516,555,526,540,516,847,1081,1,2,1,24,292
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.25,gs,gs,0.25,1,tanga,ad2,0.20078859207514532,0.2007088214905531,0.2008683626597379,0.00016123459755898952,0,721,760,770,902,721,1702,1530,1,2,1,181,942
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.25,gs,gs,0.25,0,tanga,ad2,0.07628537194063552,0.07610853909465032,0.07646220478662064,0.0003970982080449633,0,499,444,1420,540,499,847,1864,1,4,1,41,403
