snapshot_id,snapshot_year,k,l,AAIL,AIL,final_SE_similarity,final_SA_similarity,fake_nodes,discarded_entries,original_num_of_individuals,num_of_individuals_post_anonymization,fake+discarded
0,1795_1899,2,1,0.000121270030008508,0.259824646489459,0.9573,0.4959,1646,0,4692,6338,1646
0,1795_1899,4,1,0.000653501557382994,0.203554893441327,0.8282,0.5025,722,313,4692,5101,1035
0,1795_1899,6,1,0.00116338217170546,0.194387727257386,0.7828,0.5015,683,298,4692,5077,981
0,1795_1899,8,1,0.00162066981112738,0.181842667792964,0.7529,0.5011,578,315,4692,4955,893
0,1795_1899,10,1,0.00210808987228013,0.186766057448397,0.7385,0.5017,650,284,4692,5058,934
0,1795_1899,2,2,0.000124460357781721,0.263199692021045,0.9583,0.4929,1675,0,4692,6367,1675
0,1795_1899,4,2,0.00063492411299919,0.203833052038116,0.8287,0.5009,739,303,4692,5128,1042
0,1795_1899,6,2,0.00110126026847073,0.190194324880208,0.7831,0.5009,663,294,4692,5061,957
0,1795_1899,8,2,0.00165328957090359,0.186632427262141,0.7513,0.503,636,295,4692,5033,931
0,1795_1899,10,2,0.00228792149557009,0.175368639869361,0.7384,0.502,626,251,4692,5067,877
0,1795_1899,2,3,1,1,0,1,518,1627,4692,3583,2145
0,1795_1899,4,3,0.000663571560941028,0.202393811435105,0.8294,0.5008,710,316,4692,5086,1026
0,1795_1899,6,3,0.00111661293341829,0.189806972250127,0.7829,0.5011,681,280,4692,5093,961
0,1795_1899,8,3,0.00174087481562096,0.179567220931258,0.7533,0.5004,618,277,4692,5033,895
0,1795_1899,10,3,0.00199836454144939,0.189436249653753,0.738,0.5009,641,302,4692,5031,943
0,1795_1899,2,4,1,1,0,1,1692,1628,4692,4756,3320
0,1795_1899,4,4,0.000615849528805946,0.211049955037858,0.8295,0.4996,763,318,4692,5137,1081
0,1795_1899,6,4,0.00114276301051517,0.189542841921543,0.7813,0.5013,666,289,4692,5069,955
0,1795_1899,8,4,0.00153338009048314,0.190339056085753,0.7558,0.5009,670,288,4692,5074,958
0,1795_1899,10,4,0.0022708011268549,0.181081356463602,0.7379,0.5003,647,261,4692,5078,908
1,1900_1912,2,1,0.000117296379722715,0.261061906453471,0.9581,0.4947,1663,0,4710,6373,1663
1,1900_1912,4,1,0.000618081925482152,0.200220862461728,0.8283,0.5028,665,340,4710,5035,1005
1,1900_1912,6,1,0.00115069058440393,0.191514967905203,0.7814,0.501,684,288,4710,5106,972
1,1900_1912,8,1,0.0015639807936505,0.191091139840153,0.7535,0.4999,689,281,4710,5118,970
1,1900_1912,10,1,0.00223343659856463,0.179747037243336,0.7354,0.5006,567,314,4710,4963,881
1,1900_1912,2,2,0.000210839287256966,0.535426678300564,0.8975,0.5024,10,1639,4710,3081,1649
1,1900_1912,4,2,0.000617111190234578,0.198425759204322,0.8292,0.5009,706,305,4710,5111,1011
1,1900_1912,6,2,0.00114024680361083,0.195768506826966,0.7852,0.5007,714,286,4710,5138,1000
1,1900_1912,8,2,0.00159305729459568,0.18751471169905,0.75,0.5028,627,308,4710,5029,935
1,1900_1912,10,2,0.00211859649910265,0.183954649182413,0.7383,0.5,651,274,4710,5087,925
1,1900_1912,2,3,1,1,0,1,496,1663,4710,3543,2159
1,1900_1912,4,3,0.000626520456599585,0.202799589917213,0.8305,0.5016,743,299,4710,5154,1042
1,1900_1912,6,3,0.00117197545823685,0.189150761551342,0.7806,0.5013,669,288,4710,5091,957
1,1900_1912,8,3,0.00165627234409156,0.180695573654135,0.7527,0.5025,615,287,4710,5038,902
1,1900_1912,10,3,0.00218070944153425,0.176514371830478,0.7392,0.5027,619,264,4710,5065,883
1,1900_1912,2,4,1,1,0,1,1705,1623,4710,4792,3328
1,1900_1912,4,4,0.000582244760155614,0.208231462453801,0.8296,0.4997,771,304,4710,5177,1075
1,1900_1912,6,4,0.00114141221267785,0.19300876317991,0.7835,0.5032,664,308,4710,5066,972
1,1900_1912,8,4,0.00156868417662721,0.186899914460539,0.7551,0.5007,651,289,4710,5072,940
1,1900_1912,10,4,0.00207384525904822,0.180837018852208,0.7371,0.5019,609,290,4710,5029,899
2,1913_1928,2,1,0.000120681773110255,0.259513858946511,0.9573,0.4963,1650,0,4711,6361,1650
2,1913_1928,4,1,0.00061935522350144,0.20524880474694,0.8299,0.5005,741,311,4711,5141,1052
2,1913_1928,6,1,0.0011225653768605,0.192162130931554,0.7845,0.5015,715,270,4711,5156,985
2,1913_1928,8,1,0.00157566717932649,0.184432810036469,0.756,0.5021,646,282,4711,5075,928
2,1913_1928,10,1,0.00217213392563621,0.181329737247764,0.7388,0.5006,626,280,4711,5057,906
2,1913_1928,2,2,0.000207516841301663,0.537292747810723,0.8991,0.5002,7,1644,4711,3074,1651
