data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,snapshot_id,algo,galgo,AIL,dm,am,AAIL,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.00,gs,gs,0.0,6,tanga,ad2,0.20442000413445785,0.2038508918067216,0.20498911646219148,0.012651741437337794,44,3640,6009,22527,4528,3684,7425,28536,1,6,1,888,1416
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.00,gs,gs,0.0,7,tanga,ad2,0.29855391262236597,0.2975191024347925,0.2995887228099429,0.014982190808373711,45,3282,5672,42033,4627,3327,7777,47705,1,10,1,1345,2105
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.00,gs,gs,0.0,9,tanga,ad2,0.29929201156956337,0.2981742940219455,0.30040972911718056,0.014978467603579142,48,3533,6834,52777,4986,3581,9350,59611,1,10,1,1453,2516
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.00,gs,gs,0.0,7,tanga,ad2,0.20575244934393547,0.20517343387791623,0.20633146480995287,0.01450980978094811,52,3719,6292,24025,4627,3771,7777,30317,1,6,1,908,1485
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,4,1,km,gs#0.00,gs,gs,0.0,0,tanga,ad2,0.12373208542362588,0.12301462534407387,0.12444954550317748,0.011679860959661477,43,3914,5920,42230,4420,3957,7113,48150,1,10,1,506,1193
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.00,gs,gs,0.0,4,tanga,ad2,0.26036513603956507,0.25936710976361155,0.261363162315517,0.013164143625441663,40,3341,5523,40391,4471,3381,7242,45914,1,10,1,1130,1719
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,4,1,km,gs#0.00,gs,gs,0.0,3,tanga,ad2,0.12153147779942036,0.12081092433307074,0.12225203126576835,0.011805388085134764,44,3959,6038,42769,4459,4003,7220,48807,1,10,1,500,1182
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.00,gs,gs,0.0,3,tanga,ad2,0.26002556873966487,0.25894721807483717,0.2611039194044895,0.013294494058714242,40,3334,5520,40412,4459,3374,7220,45932,1,10,1,1125,1700
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.00,gs,gs,0.0,4,tanga,ad2,0.23449701520812644,0.23360072509556817,0.2353933053206825,0.012875527128952183,41,3458,5776,31789,4471,3499,7242,37565,1,8,1,1013,1466
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0.0,1,tanga,ad2,0.2878657781219553,0.2869267540686819,0.2888048021752288,0.017610188165105425,53,3196,5295,38621,4429,3249,7145,43916,1,10,1,1233,1850
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.00,gs,gs,0.0,7,tanga,ad2,0.23695072747894472,0.23607629274485628,0.23782516221303146,0.012499751582669937,41,3566,6162,34744,4627,3607,7777,40906,1,8,1,1061,1615
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,4,1,km,gs#0.00,gs,gs,0.0,1,tanga,ad2,0.1211311924160861,0.12042249858444676,0.12183988624772304,0.012596361162701308,47,3937,5975,41853,4429,3984,7145,47828,1,10,1,492,1170
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.00,gs,gs,0.0,1,tanga,ad2,0.21051317325672017,0.21005718922630415,0.21096915728713359,0.013417254820925787,46,3535,5698,20739,4429,3581,7145,26437,1,6,1,894,1447
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.00,gs,gs,0.0,6,tanga,ad2,0.29951039244300554,0.2984927981957446,0.3005279866902674,0.015266695276710032,45,3208,5418,39505,4528,3253,7425,44923,1,10,1,1320,2007
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,4,1,km,gs#0.00,gs,gs,0.0,4,tanga,ad2,0.12147096025435794,0.12074511244941122,0.12219680805930212,0.0134820610636043,51,3976,6065,43407,4471,4027,7242,49472,1,10,1,495,1177
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.00,gs,gs,0.0,5,tanga,ad2,0.2560313581445652,0.25491733593237165,0.25714538035675777,0.014356367926330832,44,3373,5615,40611,4483,3417,7287,46226,1,10,1,1110,1672
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,4,1,km,gs#0.00,gs,gs,0.0,9,tanga,ad2,0.11755703114163912,0.1167151246398752,0.11839893764340184,0.012495105660361187,52,4450,7916,56718,4986,4502,9350,64634,1,10,1,536,1434
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.00,gs,gs,0.0,5,tanga,ad2,0.3018064001637668,0.30079672106968414,0.30281607925784965,0.015440961969341022,45,3166,5303,38424,4483,3211,7287,43727,1,10,1,1317,1984
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0.0,3,tanga,ad2,0.2953949609481576,0.294340642595907,0.2964492793004078,0.0157380498996864,46,3179,5279,38607,4459,3225,7220,43886,1,10,1,1280,1941
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.00,gs,gs,0.0,9,tanga,ad2,0.20908682667897313,0.20845823221077422,0.20971542114717076,0.019159344253018896,75,4006,7589,30567,4986,4081,9350,38156,1,6,1,980,1761
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.00,gs,gs,0.0,0,tanga,ad2,0.1580213409774482,0.15773219821605458,0.1583104837388394,0.010103457294139605,37,3754,5565,19166,4420,3791,7113,24731,1,6,1,666,1548
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.00,gs,gs,0.0,4,tanga,ad2,0.25670536243547576,0.25559485362560347,0.2578158712453475,0.01439837471372842,44,3361,5576,40243,4471,3405,7242,45819,1,10,1,1110,1666
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,4,1,km,gs#0.00,gs,gs,0.0,6,tanga,ad2,0.12349226894007585,0.12276359327503407,0.12422094460511574,0.013120596591901864,50,4016,6204,44302,4528,4066,7425,50506,1,10,1,512,1221
