data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,snapshot_id,algo,galgo,AIL,dm,am,AAIL,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges,fake+discarded
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.00,gs,gs,0,6,tanga,ad2,0.204420004134458,0.203850891806722,0.204989116462191,0.0126517414373378,44,3640,6009,22527,4528,3684,7425,28536,1,6,1,888,1416,932
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.00,gs,gs,0,7,tanga,ad2,0.298553912622366,0.297519102434793,0.299588722809943,0.0149821908083737,45,3282,5672,42033,4627,3327,7777,47705,1,10,1,1345,2105,1390
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.00,gs,gs,0,9,tanga,ad2,0.299292011569563,0.298174294021945,0.300409729117181,0.0149784676035791,48,3533,6834,52777,4986,3581,9350,59611,1,10,1,1453,2516,1501
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.00,gs,gs,0,7,tanga,ad2,0.205752449343935,0.205173433877916,0.206331464809953,0.0145098097809481,52,3719,6292,24025,4627,3771,7777,30317,1,6,1,908,1485,960
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.00,gs,gs,0,4,tanga,ad2,0.260365136039565,0.259367109763612,0.261363162315517,0.0131641436254417,40,3341,5523,40391,4471,3381,7242,45914,1,10,1,1130,1719,1170
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.00,gs,gs,0,3,tanga,ad2,0.260025568739665,0.258947218074837,0.26110391940449,0.0132944940587142,40,3334,5520,40412,4459,3374,7220,45932,1,10,1,1125,1700,1165
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.00,gs,gs,0,4,tanga,ad2,0.234497015208126,0.233600725095568,0.235393305320682,0.0128755271289522,41,3458,5776,31789,4471,3499,7242,37565,1,8,1,1013,1466,1054
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,1,tanga,ad2,0.287865778121955,0.286926754068682,0.288804802175229,0.0176101881651054,53,3196,5295,38621,4429,3249,7145,43916,1,10,1,1233,1850,1286
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.00,gs,gs,0,7,tanga,ad2,0.236950727478945,0.236076292744856,0.237825162213031,0.0124997515826699,41,3566,6162,34744,4627,3607,7777,40906,1,8,1,1061,1615,1102
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.00,gs,gs,0,1,tanga,ad2,0.21051317325672,0.210057189226304,0.210969157287134,0.0134172548209258,46,3535,5698,20739,4429,3581,7145,26437,1,6,1,894,1447,940
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.00,gs,gs,0,6,tanga,ad2,0.299510392443005,0.298492798195745,0.300527986690267,0.01526669527671,45,3208,5418,39505,4528,3253,7425,44923,1,10,1,1320,2007,1365
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.00,gs,gs,0,5,tanga,ad2,0.256031358144565,0.254917335932372,0.257145380356758,0.0143563679263308,44,3373,5615,40611,4483,3417,7287,46226,1,10,1,1110,1672,1154
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.00,gs,gs,0,5,tanga,ad2,0.301806400163767,0.300796721069684,0.30281607925785,0.015440961969341,45,3166,5303,38424,4483,3211,7287,43727,1,10,1,1317,1984,1362
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,3,tanga,ad2,0.295394960948158,0.294340642595907,0.296449279300408,0.0157380498996864,46,3179,5279,38607,4459,3225,7220,43886,1,10,1,1280,1941,1326
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.00,gs,gs,0,9,tanga,ad2,0.209086826678973,0.208458232210774,0.209715421147171,0.0191593442530189,75,4006,7589,30567,4986,4081,9350,38156,1,6,1,980,1761,1055
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.00,gs,gs,0,0,tanga,ad2,0.158021340977448,0.157732198216055,0.158310483738839,0.0101034572941396,37,3754,5565,19166,4420,3791,7113,24731,1,6,1,666,1548,703
