snapshot_id	snapshot_year	k	l	AAIL	AIL	final_SE_similarity	final_SA_similarity	fake_nodes	discarded_entries	original_num_of_individuals	num_of_individuals_post_anonymization
0	1795_1899	2	1	0.000121270030008508	0.259824646489459	0.9573	0.4959	1646	0	4692	6338
0	1795_1899	4	1	0.000653501557382994	0.203554893441327	0.8282	0.5025	722	313	4692	5101
0	1795_1899	6	1	0.00116338217170546	0.194387727257386	0.7828	0.5015	683	298	4692	5077
0	1795_1899	8	1	0.00162066981112738	0.181842667792964	0.7529	0.5011	578	315	4692	4955
0	1795_1899	10	1	0.00210808987228013	0.186766057448397	0.7385	0.5017	650	284	4692	5058
0	1795_1899	2	2	0.000124460357781721	0.263199692021045	0.9583	0.4929	1675	0	4692	6367
0	1795_1899	4	2	0.00063492411299919	0.203833052038116	0.8287	0.5009	739	303	4692	5128
0	1795_1899	6	2	0.00110126026847073	0.190194324880208	0.7831	0.5009	663	294	4692	5061
0	1795_1899	8	2	0.00165328957090359	0.186632427262141	0.7513	0.503	636	295	4692	5033
0	1795_1899	10	2	0.00228792149557009	0.175368639869361	0.7384	0.502	626	251	4692	5067
0	1795_1899	2	3	1	1	0	1	518	1627	4692	3583
0	1795_1899	4	3	0.000663571560941028	0.202393811435105	0.8294	0.5008	710	316	4692	5086
0	1795_1899	6	3	0.00111661293341829	0.189806972250127	0.7829	0.5011	681	280	4692	5093
0	1795_1899	8	3	0.00174087481562096	0.179567220931258	0.7533	0.5004	618	277	4692	5033
0	1795_1899	10	3	0.00199836454144939	0.189436249653753	0.738	0.5009	641	302	4692	5031
0	1795_1899	2	4	1	1	0	1	1692	1628	4692	4756
0	1795_1899	4	4	0.000615849528805946	0.211049955037858	0.8295	0.4996	763	318	4692	5137
0	1795_1899	6	4	0.00114276301051517	0.189542841921543	0.7813	0.5013	666	289	4692	5069
0	1795_1899	8	4	0.00153338009048314	0.190339056085753	0.7558	0.5009	670	288	4692	5074
0	1795_1899	10	4	0.0022708011268549	0.181081356463602	0.7379	0.5003	647	261	4692	5078
