snapshot_id,snapshot_year,k,l,AAIL,AIL,final_SE_similarity,final_SA_similarity,fake_nodes,discarded_entries,original_num_of_individuals,num_of_individuals_post_anonymization
0,1795_1899,2,1,0.00032581584441527986,0.4303776293159179,0.8343,0.3256,0,1411,4692,3281
0,1795_1899,4,1,0.0008527119231156351,0.17455241751683498,0.7810,0.3227,644,241,4692,5095
0,1795_1899,6,1,0.001406800825433957,0.1751084152973266,0.7359,0.3228,671,222,4692,5141
0,1795_1899,8,1,0.0019739934848121777,0.16834321815266862,0.7086,0.3209,595,244,4692,5043
0,1795_1899,10,1,0.002994784152323591,0.16949528265681013,0.6916,0.3218,579,256,4692,5015
0,1795_1899,2,2,0.00030119225432805985,0.4247268270789955,0.8333,0.3234,10,1394,4692,3308
0,1795_1899,4,2,0.0008186160135467815,0.1817524681536246,0.7824,0.3226,689,241,4692,5140
0,1795_1899,6,2,0.0014369663521466578,0.1745971395123198,0.7352,0.3211,635,245,4692,5082
0,1795_1899,8,2,0.0019720238748182593,0.17146025115639055,0.7124,0.3199,659,212,4692,5139
0,1795_1899,10,2,0.002668153582486033,0.17308872364427594,0.6910,0.3208,590,265,4692,5017
0,1795_1899,4,3,0.0008406420674272667,0.1776556303578254,0.7815,0.3232,669,237,4692,5124
0,1795_1899,6,3,0.0014823113307595444,0.1680834901126849,0.7337,0.3231,623,225,4692,5090
0,1795_1899,8,3,0.002076798110895651,0.17337759531097344,0.7106,0.3218,666,215,4692,5143
0,1795_1899,10,3,0.002781488165448725,0.15798777500238387,0.6910,0.3210,594,196,4692,5090
0,1795_1899,4,4,0.0008495811132617671,0.18245789200206516,0.7836,0.3191,725,219,4692,5198
0,1795_1899,6,4,0.001434617881241637,0.1740244470585438,0.7350,0.3219,640,239,4692,5093
0,1795_1899,8,4,0.0020953916800606717,0.18185729644196544,0.7088,0.3226,627,279,4692,5040
0,1795_1899,10,4,0.0026628669051795314,0.17502219563173432,0.6913,0.3223,623,250,4692,5065
