data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,snapshot_id,algo,galgo,AIL,dm,am,AAIL,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.50,gs,gs,0.5,6,tanga,ad2,0.32023213322899263,0.31912618305884666,0.3213380833991352,0.0016256522695450555,0,3083,5179,38468,4528,3083,7425,43647,1,10,1,1445,2246
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.50,gs,gs,0.5,6,tanga,ad2,0.281428161930619,0.2802576567162777,0.28259866714495935,0.001628725295886207,0,3259,5395,41305,4528,3259,7425,46700,1,10,1,1269,2030
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.50,gs,gs,0.5,3,tanga,ad2,0.2835111047021572,0.2823518065798066,0.28467040282450623,0.0016179171788238847,0,3200,5235,39706,4459,3200,7220,44941,1,10,1,1259,1985
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.50,gs,gs,0.5,9,tanga,ad2,0.23348503357347375,0.2324524673900407,0.2345175997569092,0.0013476846497301649,0,3827,7244,43792,4986,3827,9350,51036,1,8,1,1159,2106
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.50,gs,gs,0.5,2,tanga,ad2,0.24131517654338652,0.24037132015216067,0.2422590329346111,0.0012453678234349561,0,3372,5510,31125,4439,3372,7178,36635,1,8,1,1067,1668
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.50,gs,gs,0.5,3,tanga,ad2,0.2938609897354125,0.2926674627028418,0.2950545167679842,0.0016889744694492885,0,3154,5250,39765,4459,3154,7220,45015,1,10,1,1305,1970
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.50,gs,gs,0.5,4,tanga,ad2,0.290108273282997,0.2889743095005111,0.29124223706548485,0.0015963921610339495,0,3179,5302,38617,4471,3179,7242,43919,1,10,1,1292,1940
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.50,gs,gs,0.5,1,tanga,ad2,0.19395969026765916,0.1932724957089971,0.19464688482631964,0.0008530460086285039,0,3573,5842,22532,4429,3573,7145,28374,1,6,1,856,1303
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.50,gs,gs,0.5,3,tanga,ad2,0.08872444874854454,0.08858584513828878,0.08886305235879893,0.00015318039751917854,0,4064,6623,4919,4459,4064,7220,11542,1,2,1,395,597
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.50,gs,gs,0.5,0,tanga,ad2,0.0013902567530157928,0.00023157285886857073,0.0025489406471630102,0.001164276422989408,0,4419,7034,39413,4420,4419,7113,46447,1,8,1,1,79
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.50,gs,gs,0.5,2,tanga,ad2,0.3243667451174534,0.32327173777289203,0.3254617524620119,0.001619426229592567,0,3004,4991,36614,4439,3004,7178,41605,1,10,1,1435,2187
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.50,gs,gs,0.5,3,tanga,ad2,0.28864397099460365,0.2875094158579516,0.28977852613125726,0.0015940735389298327,0,3177,5290,38488,4459,3177,7220,43778,1,10,1,1282,1930
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.50,gs,gs,0.5,5,tanga,ad2,0.1427412553218071,0.14231689159667235,0.14316561904694047,0.0004966442788981079,0,3845,6307,14700,4483,3845,7287,21007,1,4,1,638,980
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.50,gs,gs,0.5,0,tanga,ad2,0.0017863967107293627,0.00023156262156794226,0.0033412307998907853,0.0015605060242508172,0,4419,6957,52870,4420,4419,7113,59827,1,10,1,1,156
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.50,gs,gs,0.5,1,tanga,ad2,0.28541700580571705,0.28426431204951186,0.28656969956192224,0.0016130084870192654,0,3170,5173,39116,4429,3170,7145,44289,1,10,1,1259,1972
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.50,gs,gs,0.5,4,tanga,ad2,0.3242895073488372,0.3231946467208021,0.32538436797686965,0.0016190241367931507,0,3026,5037,37043,4471,3026,7242,42080,1,10,1,1445,2205
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.50,gs,gs,0.5,5,tanga,ad2,0.2893377493482103,0.2882007966348096,0.29047470206161224,0.0015988639257451841,0,3191,5341,38986,4483,3191,7287,44327,1,10,1,1292,1946
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.50,gs,gs,0.5,5,tanga,ad2,0.2416369163975544,0.24068888594874568,0.2425849468463599,0.0012513536508007186,0,3404,5598,31858,4483,3404,7287,37456,1,8,1,1079,1689
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.50,gs,gs,0.5,5,tanga,ad2,0.19476021006516958,0.19406737893852175,0.1954530411918145,0.0008609218140011391,0,3613,5960,23213,4483,3613,7287,29173,1,6,1,870,1327
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.50,gs,gs,0.5,9,tanga,ad2,0.08960599288350196,0.08945135830787537,0.08976062745912891,0.0001708590754949217,0,4540,8630,6942,4986,4540,9350,15572,1,2,1,446,720
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.50,gs,gs,0.5,2,tanga,ad2,0.09002457247952035,0.08988606841984706,0.09016307653919227,0.00015328898209132424,0,4040,6578,4871,4439,4040,7178,11449,1,2,1,399,600
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.50,gs,gs,0.5,7,tanga,ad2,0.28147491421367077,0.2803129169804144,0.2826369114469281,0.0016174054348148611,0,3330,5732,42732,4627,3330,7777,48464,1,10,1,1297,2045
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.50,gs,gs,0.5,6,tanga,ad2,0.23925211922147277,0.23829688202343663,0.240207356419507,0.001256854535265064,0,3449,5715,32794,4528,3449,7425,38509,1,8,1,1079,1710
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.50,gs,gs,0.5,9,tanga,ad2,0.27463277795978386,0.2733667304956083,0.27589882542396127,0.0017444816492317363,0,3623,6874,54845,4986,3623,9350,61719,1,10,1,1363,2476
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.50,gs,gs,0.5,3,tanga,ad2,0.24023810484660058,0.23929319692852288,0.2411830127646767,0.0012449956338379821,0,3392,5545,31423,4459,3392,7220,36968,1,8,1,1067,1675
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.50,gs,gs,0.5,1,tanga,ad2,0.2905842098354733,0.289456792020368,0.2917116276505812,0.0015882767598320014,0,3147,5224,37865,4429,3147,7145,43089,1,10,1,1282,1921
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.50,gs,gs,0.5,6,tanga,ad2,0.1404462037575578,0.14001915056999126,0.1408732569451234,0.0004984481676810675,0,3894,6429,15099,4528,3894,7425,21528,1,4,1,634,996
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.50,gs,gs,0.5,1,tanga,ad2,0.0902267576120551,0.09008901949175191,0.09036449573235707,0.00015248652914562374,0,4030,6545,4834,4429,4030,7145,11379,1,2,1,399,600
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.50,gs,gs,0.5,1,tanga,ad2,0.32509506267879856,0.3240016372314886,0.32618848812610557,0.0016188416048362544,0,2994,4967,36369,4429,2994,7145,41336,1,10,1,1435,2178
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.50,gs,gs,0.5,0,tanga,ad2,0.0017785198142749178,0.00023424479433262717,0.003322794834217203,0.0015526276488403653,0,4419,7014,53196,4420,4419,7113,60210,1,10,1,1,99
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.50,gs,gs,0.5,6,tanga,ad2,0.29162030410377104,0.2904161259270935,0.29282448228045066,0.0016985994967230063,0,3213,5407,41411,4528,3213,7425,46818,1,10,1,1315,2018
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.50,gs,gs,0.5,2,tanga,ad2,0.28478276689580617,0.2836239295141504,0.2859416042774616,0.001620129979665136,0,3180,5202,39392,4439,3180,7178,44594,1,10,1,1259,1976
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.50,gs,gs,0.5,1,tanga,ad2,0.1435692167065831,0.1431489361181499,0.14398949729501584,0.0004923887424498497,0,3795,6177,14267,4429,3795,7145,20444,1,4,1,634,968
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.50,gs,gs,0.5,2,tanga,ad2,0.19352858577557588,0.1928370972621234,0.19422007428902655,0.0008578998347111146,0,3583,5873,22745,4439,3583,7178,28618,1,6,1,856,1305
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.50,gs,gs,0.5,9,tanga,ad2,0.3198793971303888,0.3186937866459297,0.3210650076148491,0.0017428209528607896,0,3397,6533,50692,4986,3397,9350,57225,1,10,1,1589,2817
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.50,gs,gs,0.5,9,tanga,ad2,0.28989908914099544,0.2886089393663671,0.29118923891562454,0.0018149717146635745,0,3547,6828,54514,4986,3547,9350,61342,1,10,1,1439,2522
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.50,gs,gs,0.5,7,tanga,ad2,0.08745698501252536,0.08731458435324449,0.08759938567180531,0.0001571605057206915,0,4223,7158,5453,4627,4223,7777,12611,1,2,1,404,619
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.50,gs,gs,0.5,5,tanga,ad2,0.28423277735676283,0.2830708559746534,0.28539469873887074,0.0016231652740573332,0,3214,5282,40174,4483,3214,7287,45456,1,10,1,1269,2005
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.50,gs,gs,0.5,7,tanga,ad2,0.19003294196476525,0.18932450264557657,0.19074138128395218,0.0008752185722790286,0,3751,6383,25490,4627,3751,7777,31873,1,6,1,876,1394
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.50,gs,gs,0.5,2,tanga,ad2,0.2899387441773157,0.2888047133476285,0.29107277500700507,0.0015961110070436184,0,3157,5255,38166,4439,3157,7178,43421,1,10,1,1282,1923
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.50,gs,gs,0.5,8,tanga,ad2,0.2845433099486578,0.28334455653012647,0.28574206336719027,0.0016741271082653657,0,3455,6340,48049,4821,3455,8604,54389,1,10,1,1366,2264
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.50,gs,gs,0.5,8,tanga,ad2,0.1899081205005792,0.1891733088329032,0.19064293216825576,0.0009075406570782634,0,3909,7070,29017,4821,3909,8604,36087,1,6,1,912,1534
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.50,gs,gs,0.5,8,tanga,ad2,0.13880876779671392,0.13835444141932277,0.13926309417410207,0.0005290352516655166,0,4154,7469,18528,4821,4154,8604,25997,1,4,1,667,1135
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.50,gs,gs,0.5,3,tanga,ad2,0.19266412548180734,0.19197217417510268,0.19335607678851016,0.0008575636224705496,0,3603,5907,22945,4459,3603,7220,28852,1,6,1,856,1313
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.50,gs,gs,0.5,4,tanga,ad2,0.2422792919012966,0.2413348860553723,0.2432236977472192,0.0012476504490985117,0,3392,5556,31506,4471,3392,7242,37062,1,8,1,1079,1686
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.50,gs,gs,0.5,3,tanga,ad2,0.32291724440010655,0.3218217855026692,0.3240127032975412,0.00161666191342801,0,3024,5026,36910,4459,3024,7220,41936,1,10,1,1435,2194
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.50,gs,gs,0.5,7,tanga,ad2,0.28866186290215917,0.2874442206406431,0.28987950516367567,0.0017104424985530523,0,3297,5660,43828,4627,3297,7777,49488,1,10,1,1330,2117
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.50,gs,gs,0.5,3,tanga,ad2,0.14260879997732084,0.1421858903233421,0.14303170963129905,0.0004949567829738087,0,3825,6247,14515,4459,3825,7220,20762,1,4,1,634,973
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.50,gs,gs,0.5,8,tanga,ad2,0.23311283378074915,0.2321115258337257,0.23411414172777276,0.0013069779929733808,0,3702,6655,39585,4821,3702,8604,46240,1,8,1,1119,1949
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.50,gs,gs,0.5,0,tanga,ad2,0.0010506774542055266,0.00022940255113531387,0.001871952357275744,0.0008246200332766258,0,4419,7046,27250,4420,4419,7113,34296,1,6,1,1,67
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.50,gs,gs,0.5,4,tanga,ad2,0.2849893946869406,0.28383060175416164,0.2861481876197194,0.0016205170315624988,0,3202,5245,39824,4471,3202,7242,45069,1,10,1,1269,1997
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.50,gs,gs,0.5,5,tanga,ad2,0.3234269667419299,0.3223299520646785,0.32452398141917754,0.0016209093655694218,0,3038,5073,37383,4483,3038,7287,42456,1,10,1,1445,2214
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.50,gs,gs,0.5,8,tanga,ad2,0.316232818078885,0.3150806032912522,0.31738503286651876,0.001683598228107736,0,3302,6003,45811,4821,3302,8604,51814,1,10,1,1519,2601
