snapshot_id,snapshot_year,k,l,AAIL,AIL,final_SE_similarity,final_SA_similarity,fake_nodes,discarded_entries,original_num_of_individuals,num_of_individuals_post_anonymization
0,1795_1899,2,1,0.0001907732663896598,0.5370397742490297,0.8979,0.5033,0,1639,4692,3053
0,1795_1899,4,1,0.0006535015573829939,0.20355489344132732,0.8282,0.5025,722,313,4692,5101
0,1795_1899,6,1,0.0011633821717054636,0.19438772725738598,0.7828,0.5015,683,298,4692,5077
0,1795_1899,8,1,0.0016206698111273848,0.1818426677929639,0.7529,0.5011,578,315,4692,4955
0,1795_1899,10,1,0.002108089872280132,0.1867660574483972,0.7385,0.5017,650,284,4692,5058
0,1795_1899,2,2,0.00019056777406958265,0.5412170470156518,0.8987,0.5015,11,1644,4692,3059
0,1795_1899,4,2,0.0006349241129991898,0.20383305203811616,0.8287,0.5009,739,303,4692,5128
0,1795_1899,6,2,0.00110126026847073,0.19019432488020754,0.7831,0.5009,663,294,4692,5061
0,1795_1899,8,2,0.0016532895709035949,0.1866324272621414,0.7513,0.5030,636,295,4692,5033
0,1795_1899,10,2,0.00228792149557009,0.17536863986936127,0.7384,0.5020,626,251,4692,5067
0,1795_1899,2,3,1,1,0,1,518,1627,4692,3583
0,1795_1899,4,3,0.0006635715609410277,0.20239381143510543,0.8294,0.5008,710,316,4692,5086
0,1795_1899,6,3,0.0011166129334182907,0.1898069722501275,0.7829,0.5011,681,280,4692,5093
0,1795_1899,8,3,0.001740874815620959,0.17956722093125776,0.7533,0.5004,618,277,4692,5033
0,1795_1899,10,3,0.001998364541449385,0.1894362496537531,0.7380,0.5009,641,302,4692,5031
0,1795_1899,2,4,1,1,0,1,1692,1628,4692,4756
0,1795_1899,4,4,0.0006158495288059456,0.21104995503785792,0.8295,0.4996,763,318,4692,5137
0,1795_1899,6,4,0.001142763010515172,0.189542841921543,0.7813,0.5013,666,289,4692,5069
0,1795_1899,8,4,0.0015333800904831392,0.19033905608575316,0.7558,0.5009,670,288,4692,5074
0,1795_1899,10,4,0.0022708011268548984,0.18108135646360166,0.7379,0.5003,647,261,4692,5078
1,1900_1912,2,1,0.00020625622628609586,0.5404286237867831,0.8978,0.5041,0,1652,4710,3058
1,1900_1912,4,1,0.000618081925482152,0.20022086246172843,0.8283,0.5028,665,340,4710,5035
1,1900_1912,6,1,0.0011506905844039315,0.19151496790520298,0.7814,0.5010,684,288,4710,5106
1,1900_1912,8,1,0.0015639807936505003,0.19109113984015302,0.7535,0.4999,689,281,4710,5118
1,1900_1912,10,1,0.0022334365985646337,0.17974703724333593,0.7354,0.5006,567,314,4710,4963
1,1900_1912,2,2,0.0002108392872569661,0.5354266783005643,0.8975,0.5024,10,1639,4710,3081
1,1900_1912,4,2,0.0006171111902345775,0.19842575920432184,0.8292,0.5009,706,305,4710,5111
1,1900_1912,6,2,0.001140246803610832,0.19576850682696623,0.7852,0.5007,714,286,4710,5138
1,1900_1912,8,2,0.0015930572945956785,0.18751471169904985,0.7500,0.5028,627,308,4710,5029
1,1900_1912,10,2,0.0021185964991026476,0.18395464918241303,0.7383,0.5000,651,274,4710,5087
1,1900_1912,2,3,1,1,0,1,496,1663,4710,3543
1,1900_1912,4,3,0.000626520456599585,0.2027995899172127,0.8305,0.5016,743,299,4710,5154
1,1900_1912,6,3,0.0011719754582368513,0.18915076155134233,0.7806,0.5013,669,288,4710,5091
1,1900_1912,8,3,0.0016562723440915594,0.18069557365413522,0.7527,0.5025,615,287,4710,5038
1,1900_1912,10,3,0.0021807094415342474,0.176514371830478,0.7392,0.5027,619,264,4710,5065
1,1900_1912,2,4,1,1,0,1,1705,1623,4710,4792
1,1900_1912,4,4,0.0005822447601556139,0.2082314624538006,0.8296,0.4997,771,304,4710,5177
1,1900_1912,6,4,0.001141412212677854,0.1930087631799104,0.7835,0.5032,664,308,4710,5066
1,1900_1912,8,4,0.001568684176627209,0.18689991446053889,0.7551,0.5007,651,289,4710,5072
1,1900_1912,10,4,0.00207384525904822,0.18083701885220788,0.7371,0.5019,609,290,4710,5029
2,1913_1928,2,1,0.0002103710258232,0.5417679626488598,0.8981,0.5032,0,1655,4711,3056
2,1913_1928,4,1,0.0006193552235014396,0.20524880474694046,0.8299,0.5005,741,311,4711,5141
2,1913_1928,6,1,0.0011225653768605016,0.19216213093155407,0.7845,0.5015,715,270,4711,5156
2,1913_1928,8,1,0.001575667179326485,0.18443281003646933,0.7560,0.5021,646,282,4711,5075
2,1913_1928,10,1,0.002172133925636206,0.18132973724776394,0.7388,0.5006,626,280,4711,5057
2,1913_1928,2,2,0.00020751684130166295,0.5372927478107227,0.8991,0.5002,7,1644,4711,3074
2,1913_1928,4,2,0.0006162452535247886,0.19822923684029842,0.8288,0.5020,705,305,4711,5111
2,1913_1928,6,2,0.0011164319127755014,0.1848737704646346,0.7826,0.5003,669,270,4711,5110
2,1913_1928,8,2,0.001639147484855851,0.1867729433223187,0.7540,0.5018,634,300,4711,5045
2,1913_1928,10,2,0.0020597681347857277,0.1911799566658148,0.7385,0.5017,672,291,4711,5092
2,1913_1928,2,3,1,1,0,1,532,1645,4711,3598
2,1913_1928,4,3,0.0006303087438995345,0.2031619543135198,0.8308,0.5024,732,308,4711,5135
2,1913_1928,6,3,0.0011637326593587078,0.1887865224432487,0.7830,0.5014,667,288,4711,5090
2,1913_1928,8,3,0.001616218039186546,0.1953710667591245,0.7562,0.5009,722,277,4711,5156
2,1913_1928,10,3,0.0021635319078781075,0.18121560914602908,0.7388,0.5017,667,251,4711,5127
2,1913_1928,2,4,1,1,0,1,1658,1645,4711,4724
2,1913_1928,4,4,0.0006223941014326705,0.20664181157716083,0.8299,0.4999,750,311,4711,5150
2,1913_1928,6,4,0.00111820628801283,0.1833273949488144,0.7806,0.5006,668,264,4711,5115
2,1913_1928,8,4,0.001661892093990446,0.1901280038656908,0.7557,0.5006,643,308,4711,5046
2,1913_1928,10,4,0.002090515758045715,0.19101494598595456,0.7405,0.5013,618,327,4711,5002
3,1929_1941,2,1,0.0002003577515606742,0.536658691084894,0.8993,0.5049,0,1648,4720,3072
3,1929_1941,4,1,0.00067010446843106,0.20012418908531543,0.8286,0.5020,716,307,4720,5129
3,1929_1941,6,1,0.0012161370956884408,0.1888385421093978,0.7838,0.5022,672,286,4720,5106
3,1929_1941,8,1,0.0016039131844226308,0.18447111443613395,0.7521,0.5010,664,271,4720,5113
3,1929_1941,10,1,0.001937644804419707,0.18464884323271047,0.7382,0.5028,650,280,4720,5090
3,1929_1941,2,2,0.0002055312112613014,0.5443855116481703,0.8987,0.5021,8,1661,4720,3067
3,1929_1941,4,2,0.0006616399673550404,0.20346156219173772,0.8304,0.5003,733,310,4720,5143
3,1929_1941,6,2,0.0011868772785111736,0.1847721904534572,0.7830,0.5016,654,281,4720,5093
3,1929_1941,8,2,0.001694282505675679,0.17952522349451142,0.7511,0.5010,594,298,4720,5016
3,1929_1941,10,2,0.0020930120834467165,0.1728342598831729,0.7388,0.5005,633,240,4720,5113
3,1929_1941,2,3,1,1,0,1,525,1649,4720,3596
3,1929_1941,4,3,0.0006301248519925967,0.2010184743665557,0.8300,0.5013,731,301,4720,5150
3,1929_1941,6,3,0.0011651460425734879,0.19309233242959367,0.7814,0.5008,652,318,4720,5054
