data	sample	sattr	strategy	n_sg	anony_mode	info_loss	alpha_adm	alpha_dm	k	w	l	reset_w	calgo	enforcer_str	enforcer	enforcer_name	max_dist	snapshot_id	algo	galgo	AIL	dm	am	AAIL	num_anonymized_fake_entities	num_anonymized_real_entities	num_real_edges	num_fake_edges	num_raw_entities	num_anonymized_entities	num_raw_edges	num_anonymized_edges	anonymized_anonymity	anonymized_attribute_anonymity	anonymized_degree_anonymity	num_removed_entities	num_removed_edges
yago15	-1	isCitizenOf	mean	10	all	adm	0.5	0.5	4	-1	2	-1	km	gs#0.00	gs	gs	0	2	tanga	ad2	0.159312192630437	0.159031292940502	0.159593092320369	0.0151818708607876	57	3781	6055	12293	4439	3838	7178	18348	1	4	1	658	1123
yago15	-1	isCitizenOf	mean	10	all	adm	0.5	0.5	8	-1	2	-1	km	gs#0.00	gs	gs	0	6	tanga	ad2	0.260117363407191	0.25928494373757	0.260949783076812	0.0078948455732663	23	3371	5661	31321	4528	3394	7425	36982	1	8	1	1157	1764
yago15	-1	isCitizenOf	mean	10	all	adm	0.5	0.5	8	-1	2	-1	km	gs#0.00	gs	gs	0	7	tanga	ad2	0.259769300760755	0.258926335992601	0.260612265528909	0.00776261712195173	23	3446	5913	33168	4627	3469	7777	39081	1	8	1	1181	1864
yago15	-1	isCitizenOf	mean	10	all	adm	0.5	0.5	4	-1	2	-1	km	gs#0.00	gs	gs	0	3	tanga	ad2	0.152663536132707	0.152348626985951	0.152978445279461	0.0150396522200102	57	3828	6207	12805	4459	3885	7220	19012	1	4	1	631	1013
yago15	-1	isCitizenOf	mean	10	all	adm	0.5	0.5	6	-1	2	-1	km	gs#0.00	gs	gs	0	1	tanga	ad2	0.22876617500834	0.228323905436233	0.229208444580444	0.01034640513017	34	3444	5601	19981	4429	3478	7145	25582	1	6	1	985	1544
yago15	-1	isCitizenOf	mean	10	all	adm	0.5	0.5	2	-1	2	-1	km	gs#0.00	gs	gs	0	2	tanga	ad2	0.153298641796609	0.153240906336358	0.153356377256858	0.00139580580499733	5	3763	5883	3315	4439	3768	7178	9198	1	2	1	676	1295
yago15	-1	isCitizenOf	mean	10	all	adm	0.5	0.5	2	-1	1	-1	km	gs#0.00	gs	gs	0	9	tanga	ad2	0.10259779522234	0.102487715704253	0.102707874740427	0.000123535444326758	0	4475	8465	5904	4986	4475	9350	14369	1	2	1	511	885
yago15	-1	isCitizenOf	mean	10	all	adm	0.5	0.5	4	-1	2	-1	km	gs#0.00	gs	gs	0	0	tanga	ad2	0.213107898119474	0.212991978170392	0.213223818068551	0.0127923388263543	45	3514	4874	8377	4420	3559	7113	13251	1	4	1	906	2239
yago15	-1	isCitizenOf	mean	10	all	adm	0.5	0.5	6	-1	2	-1	km	gs#0.00	gs	gs	0	6	tanga	ad2	0.222969378232917	0.222394721560572	0.223544034905257	0.0107764409072247	36	3549	5923	21790	4528	3585	7425	27713	1	6	1	979	1502
yago15	-1	isCitizenOf	mean	10	all	adm	0.5	0.5	2	-1	2	-1	km	gs#0.00	gs	gs	0	5	tanga	ad2	0.0974625233948018	0.0973714119013348	0.0975536348882678	0.00133430948061537	5	4051	6585	4009	4483	4056	7287	10594	1	2	1	432	702
yago15	-1	isCitizenOf	mean	10	all	adm	0.5	0.5	2	-1	1	-1	km	gs#0.00	gs	gs	0	4	tanga	ad2	0.105205416127703	0.105122677063815	0.105288155191591	0.0000934	0	4001	6424	3845	4471	4001	7242	10269	1	2	1	470	818
