subject,predicate,object,birthPlace
Princess_Victoria_Louise_of_Prussia ,birthDate ,1892-09-13T00:00:00.000Z ,Marmorpalais 
Princess_Victoria_Louise_of_Prussia ,gender ,Female__u0028_gender_u0029_ ,Marmorpalais 
Princess_Victoria_Louise_of_Prussia ,knowsLanguage ,German_language_generic_instance ,Marmorpalais 
Princess_Victoria_Louise_of_Prussia ,nationality ,Germany ,Marmorpalais 
Abd_Allah_ibn_Muhammad ,birthDate ,0610-01-01T00:00:00.000Z ,Mecca 
Abd_Allah_ibn_Muhammad ,gender ,Male_gender ,Mecca 
Consort_Tang ,gender ,Female__u0028_gender_u0029_ ,Yingchuan_Commandery 
Elfriede_Geiringer ,gender ,Female__u0028_gender_u0029_ ,Vienna 
Elfriede_Geiringer ,nationality ,Austria ,Vienna 
Marcia_Furnilla ,birthDate ,0001-01-01T00:00:00.000Z ,Rome 
Marcia_Furnilla ,gender ,Female__u0028_gender_u0029_ ,Rome 
Najwa_Ghanem ,birthDate ,1959-01-01T00:00:00.000Z ,Latakia 
Najwa_Ghanem ,gender ,Female__u0028_gender_u0029_ ,Latakia 
Najwa_Ghanem ,knowsLanguage ,Arabic_generic_instance ,Latakia 
Najwa_Ghanem ,nationality ,Syria ,Latakia 
Augusta_Victoria_of_Schleswig-Holstein ,award ,Order_of_the_Black_Eagle ,Lubsko 
Augusta_Victoria_of_Schleswig-Holstein ,birthDate ,1858-10-22T00:00:00.000Z ,Lubsko 
Augusta_Victoria_of_Schleswig-Holstein ,gender ,Female__u0028_gender_u0029_ ,Lubsko 
Augusta_Victoria_of_Schleswig-Holstein ,knowsLanguage ,French_language_generic_instance ,Lubsko 
Augusta_Victoria_of_Schleswig-Holstein ,knowsLanguage ,German_language_generic_instance ,Lubsko 
Augusta_Victoria_of_Schleswig-Holstein ,nationality ,Germany ,Lubsko 
Marianne_von_Weizsäcker ,birthDate ,1932-05-17T00:00:00.000Z ,Essen 
Marianne_von_Weizsäcker ,gender ,Female__u0028_gender_u0029_ ,Essen 
Marianne_von_Weizsäcker ,knowsLanguage ,German_language_generic_instance ,Essen 
Marianne_von_Weizsäcker ,nationality ,Germany ,Essen 
He_Fani ,birthDate ,0339-01-01T00:00:00.000Z ,Huoshan_County 
Ibrahim_ibn_Muhammad ,birthDate ,0630-03-04T00:00:00.000Z ,Medina 
Ibrahim_ibn_Muhammad ,gender ,Male_gender ,Medina 
Juwayriya_bint_al-Harith ,birthDate ,0608-01-01T00:00:00.000Z ,Medina 
Juwayriya_bint_al-Harith ,gender ,Female__u0028_gender_u0029_ ,Medina 
