subject,predicate,object,birthPlace,,,object,2024-04-13,
Princess_Victoria_Louise_of_Prussia ,age ,131,Marmorpalais ,,,1892-09-13,,131
Princess_Victoria_Louise_of_Prussia ,gender ,Female__u0028_gender_u0029_ ,Marmorpalais ,,,,,
Princess_Victoria_Louise_of_Prussia ,knowsLanguage ,German_language_generic_instance ,Marmorpalais ,,,,,
Princess_Victoria_Louise_of_Prussia ,nationality ,Germany ,Marmorpalais ,,,,,
Abd_Allah_ibn_Muhammad ,age ,1414,Mecca ,,,0610-01-01,,1414
Abd_Allah_ibn_Muhammad ,gender ,Male_gender ,Mecca ,,,,,
Consort_Tang ,gender ,Female__u0028_gender_u0029_ ,Yingchuan_Commandery ,,,,,
Elfriede_Geiringer ,gender ,Female__u0028_gender_u0029_ ,Vienna ,,,,,
Elfriede_Geiringer ,nationality ,Austria ,Vienna ,,,,,
Marcia_Furnilla ,age ,2023,Rome ,,,0001-01-01,,2023
Marcia_Furnilla ,gender ,Female__u0028_gender_u0029_ ,Rome ,,,,,
Najwa_Ghanem ,age ,65,Latakia ,,,1959-01-01,,65
Najwa_Ghanem ,gender ,Female__u0028_gender_u0029_ ,Latakia ,,,,,
Najwa_Ghanem ,knowsLanguage ,Arabic_generic_instance ,Latakia ,,,,,
Najwa_Ghanem ,nationality ,Syria ,Latakia ,,,,,
Augusta_Victoria_of_Schleswig-Holstein ,award ,Order_of_the_Black_Eagle ,Lubsko ,,,,,
Augusta_Victoria_of_Schleswig-Holstein ,age ,165,Lubsko ,,,1858-10-22,,165
Augusta_Victoria_of_Schleswig-Holstein ,gender ,Female__u0028_gender_u0029_ ,Lubsko ,,,,,
Augusta_Victoria_of_Schleswig-Holstein ,knowsLanguage ,French_language_generic_instance ,Lubsko ,,,,,
Augusta_Victoria_of_Schleswig-Holstein ,knowsLanguage ,German_language_generic_instance ,Lubsko ,,,,,
Augusta_Victoria_of_Schleswig-Holstein ,nationality ,Germany ,Lubsko ,,,,,
Marianne_von_Weizsäcker ,age ,91,Essen ,,,1932-05-17,,91
Marianne_von_Weizsäcker ,gender ,Female__u0028_gender_u0029_ ,Essen ,,,,,
Marianne_von_Weizsäcker ,knowsLanguage ,German_language_generic_instance ,Essen ,,,,,
Marianne_von_Weizsäcker ,nationality ,Germany ,Essen ,,,,,
He_Fani ,age ,1685,Huoshan_County ,,,0339-01-01,,1685
Ibrahim_ibn_Muhammad ,age ,1394,Medina ,,,0630-03-04,,1394
Ibrahim_ibn_Muhammad ,gender ,Male_gender ,Medina ,,,,,
Juwayriya_bint_al-Harith ,age ,1416,Medina ,,,0608-01-01,,1416
Juwayriya_bint_al-Harith ,gender ,Female__u0028_gender_u0029_ ,Medina ,,,,,
Magdalena_Luther ,age ,494,Wittenberg ,,,1529-05-04,,494
Magdalena_Luther ,gender ,Female__u0028_gender_u0029_ ,Wittenberg ,,,,,
Mao_Anlong ,age ,97,Changsha ,,,1927-01-01,,97
Mao_Anlong ,gender ,Male_gender ,Changsha ,,,,,
Maria_al-Qibtiyya ,gender ,Female__u0028_gender_u0029_ ,Byzantine_Empire ,,,,,
Maria_al-Qibtiyya ,knowsLanguage ,Arabic_generic_instance ,Byzantine_Empire ,,,,,
Maria_al-Qibtiyya ,knowsLanguage ,Egyptian_language_generic_instance ,Byzantine_Empire ,,,,,
Maymunah_bint_al-Harith ,gender ,Female__u0028_gender_u0029_ ,Mecca ,,,,,
