data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,snapshot_id,algo,galgo,AIL,dm,am,AAIL,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges,fake+discarded
yago15,-1,isCitizenOf,mean,5,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.00,gs,gs,0,4,tanga,ad2,0.223620903632966,0.222404688423193,0.224837118842742,0.0229611006034904,83,3790,7256,56148,4791,3873,9137,63404,1,10,1,1001,1881,1084
yago15,-1,isCitizenOf,mean,5,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.00,gs,gs,0,3,tanga,ad2,0.220263879963493,0.219132473233762,0.221395286693224,0.0157501268475181,51,3510,6007,44639,4444,3561,7575,50646,1,10,1,934,1568,985
yago15,-1,isCitizenOf,mean,5,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.00,gs,gs,0,4,tanga,ad2,0.198170006271419,0.197238439167877,0.199101573374957,0.0165624300113598,61,3895,7537,43528,4791,3956,9137,51065,1,8,1,896,1600,957
yago15,-1,isCitizenOf,mean,5,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,1,tanga,ad2,0.213228126372046,0.212205297175269,0.214250955568824,0.0125978791477214,39,3408,5647,40062,4287,3447,7030,45709,1,10,1,879,1383,918
yago15,-1,isCitizenOf,mean,5,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.00,gs,gs,0,1,tanga,ad2,0.175636760591631,0.175138797658543,0.176134723524716,0.0119512519943119,41,3570,5830,21947,4287,3611,7030,27777,1,6,1,717,1200,758
yago15,-1,isCitizenOf,mean,5,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,3,tanga,ad2,0.223856489305125,0.222767882055166,0.224945096555085,0.0116194108432318,36,3482,5971,43100,4444,3518,7575,49071,1,10,1,962,1604,998
yago15,-1,isCitizenOf,mean,5,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.00,gs,gs,0,0,tanga,ad2,0.158407296403196,0.158090971308382,0.158723621498008,0.00995875149498506,35,3616,5611,19819,4260,3651,6958,25430,1,6,1,644,1347,679
yago15,-1,isCitizenOf,mean,5,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.00,gs,gs,0,4,tanga,ad2,0.240493042712085,0.239309299289355,0.241676786134816,0.0208741643713244,73,3700,7206,55615,4791,3773,9137,62821,1,10,1,1091,1931,1164
yago15,-1,isCitizenOf,mean,5,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.00,gs,gs,0,4,tanga,ad2,0.12429816918117,0.123943098059648,0.12465324030269,0.0138694443940302,58,4248,8059,18562,4791,4306,9137,26621,1,4,1,543,1078,601
yago15,-1,isCitizenOf,mean,5,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.00,gs,gs,0,3,tanga,ad2,0.163274021264548,0.16269237594936,0.163855666579735,0.0120027883858868,43,3757,6446,25020,4444,3800,7575,31466,1,6,1,687,1129,730
yago15,-1,isCitizenOf,mean,5,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.00,gs,gs,0,4,tanga,ad2,0.0994449554752807,0.0993529795939919,0.0995369313565705,0.000102152627944316,0,4315,8076,5494,4791,4315,9137,13570,1,2,1,476,1061,476
yago15,-1,isCitizenOf,mean,5,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.00,gs,gs,0,2,tanga,ad2,0.232163385899319,0.231016393397759,0.233310378400878,0.0158777605868504,49,3352,5684,41800,4310,3401,7096,47484,1,10,1,958,1412,1007
yago15,-1,isCitizenOf,mean,5,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.00,gs,gs,0,0,tanga,ad2,0.126046425574905,0.125290233149046,0.126802618000763,0.0139424482363476,50,3770,5980,42508,4260,3820,6958,48488,1,10,1,490,978,540
yago15,-1,isCitizenOf,mean,5,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.00,gs,gs,0,1,tanga,ad2,0.229647284691168,0.228624213167942,0.230670356214395,0.016604775525538,52,3347,5617,41149,4287,3399,7030,46766,1,10,1,940,1413,992
